ax,ay,az,gx,gy,gz
-1550,-1812,-264,-1032,583,986
-1547,-1884,-213,-1110,548,922
-1612,-1982,-323,-1203,618,854
-1662,-2040,-411,-1221,592,808
-1682,-2112,-398,-1203,377,808
-1720,-2182,-378,-1195,129,842
-1818,-2255,-418,-1215,-30,849
-1950,-2343,-466,-1230,-96,795
-1989,-2424,-514,-1231,-157,646
-1938,-2490,-631,-1257,-162,443
-1870,-2567,-779,-1255,-118,261
-1772,-2643,-813,-1174,-197,132
-1669,-2704,-765,-1073,-391,44
-1572,-2729,-697,-1000,-531,-21
-1554,-2802,-684,-963,-645,-59
-1582,-2883,-790,-946,-780,-75
-1603,-2965,-952,-903,-935,-124
-1536,-3000,-1061,-828,-1079,-235
-1454,-3031,-1125,-734,-1122,-402
-1409,-3040,-1172,-645,-1114,-566
-1267,-3026,-1222,-565,-1134,-724
-1100,-2994,-1273,-473,-1154,-857
-1013,-2947,-1286,-358,-1212,-903
-1017,-2902,-1202,-232,-1349,-910
-948,-2860,-1147,-168,-1490,-976
-833,-2834,-1186,-140,-1562,-1052
-770,-2821,-1235,-86,-1578,-1135
-684,-2788,-1272,-38,-1589,-1230
-584,-2768,-1357,9,-1557,-1326
-404,-2769,-1505,75,-1520,-1421
-244,-2786,-1633,204,-1566,-1458
-159,-2754,-1625,377,-1623,-1441
-16,-2724,-1556,519,-1637,-1441
142,-2684,-1488,622,-1602,-1449
229,-2669,-1496,698,-1520,-1440
354,-2640,-1525,789,-1475,-1438
542,-2588,-1479,902,-1418,-1458
673,-2540,-1448,964,-1293,-1450
801,-2507,-1455,1014,-1155,-1417
959,-2474,-1478,1081,-1032,-1383
1108,-2414,-1458,1181,-881,-1315
1214,-2355,-1404,1287,-819,-1179
1312,-2286,-1283,1363,-825,-995
1411,-2200,-1179,1407,-767,-818
1480,-2145,-1151,1408,-711,-645
1464,-2088,-1155,1395,-617,-493
1381,-2023,-1128,1379,-483,-394
1307,-1945,-1063,1365,-343,-342
1306,-1908,-1034,1334,-178,-306
1335,-1886,-1087,1314,20,-261
1275,-1833,-1089,1334,168,-173
1160,-1762,-944,1358,246,-83
1072,-1729,-818,1328,351,-43
1080,-1714,-806,1252,490,-38
1110,-1722,-768,1191,680,-50
1049,-1732,-745,1128,901,-26
1009,-1733,-715,1081,1053,50
1012,-1727,-643,1027,1086,159
959,-1751,-599,930,1130,292
850,-1798,-618,837,1207,434
734,-1820,-667,795,1244,557
611,-1825,-671,785,1189,699
502,-1814,-547,785,1142,816
408,-1841,-496,737,1100,907
264,-1876,-506,685,1103,990
140,-1906,-551,659,1183,1023
2,-1927,-527,664,1213,1026
-172,-1948,-455,664,1301,996
-341,-1998,-370,663,1420,935
-515,-2006,-278,656,1501,845
-683,-2023,-187,621,1621,709
-809,-2066,-147,547,1687,586
-891,-2137,-119,486,1658,511
-998,-2213,-84,464,1620,463
-1074,-2241,-131,433,1592,415
-1144,-2281,-217,438,1570,388
-1262,-2295,-172,528,1530,367
-1334,-2266,-32,584,1459,290
-1376,-2251,4,560,1577,179
-1475,-2228,-27,542,1649,153
-1605,-2183,-78,563,1516,209
-1741,-2115,-92,594,1276,275
-1875,-2065,-38,617,1033,342
-1995,-2024,92,629,841,363
-2114,-2027,76,610,687,339
-2225,-2020,-57,644,486,296
-2258,-1941,-68,750,332,169
-2201,-1862,42,840,279,-13
-2201,-1817,152,870,248,-178
-2205,-1781,208,843,244,-358
-2014,-1709,223,800,215,-546
-1841,-1664,246,789,177,-645
-1833,-1636,263,792,95,-672
-1735,-1617,225,784,-23,-731
-1550,-1616,197,817,-197,-782
-1382,-1540,234,860,-326,-803
-1233,-1470,293,858,-360,-813
-1115,-1457,305,815,-405,-791
-1054,-1400,297,787,-523,-729
-967,-1340,354,772,-756,-649
-916,-1308,451,721,-925,-601
-934,-1291,470,629,-990,-594
-913,-1276,438,553,-1135,-604
-816,-1226,466,496,-1217,-668
-773,-1219,487,414,-1167,-748
-739,-1239,401,339,-1132,-822
-662,-1217,352,322,-1136,-895
-517,-1141,362,310,-1146,-948
-350,-1130,396,267,-1267,-952
-281,-1167,349,194,-1369,-949
-199,-1170,262,134,-1318,-1007
-69,-1143,214,114,-1296,-1069
-6,-1132,231,107,-1329,-1088
31,-1114,257,86,-1268,-1145
131,-1089,275,49,-1178,-1232
224,-1059,273,-9,-1101,-1291
319,-1048,274,-70,-1062,-1317
454,-1044,239,-126,-1098,-1301
616,-1046,158,-175,-1164,-1262
762,-1016,88,-212,-1233,-1188
831,-1014,64,-242,-1290,-1088
825,-1044,60,-290,-1311,-1017
908,-1077,28,-338,-1245,-1006
980,-1056,91,-358,-1193,-965
939,-1070,117,-421,-1237,-860
930,-1153,71,-496,-1311,-796
1001,-1173,62,-525,-1304,-823
1122,-1158,-5,-588,-1163,-894
1234,-1197,-125,-649,-1031,-914
1319,-1244,-154,-653,-962,-920
1402,-1276,-115,-658,-820,-946
1513,-1305,-124,-690,-696,-926
1702,-1334,-163,-720,-682,-837
1819,-1397,-120,-738,-733,-668
1867,-1466,-125,-770,-724,-513
1928,-1514,-172,-794,-667,-388
1935,-1568,-155,-801,-625,-240
1900,-1613,-156,-828,-529,-122
1841,-1685,-166,-860,-416,-42
1840,-1736,-160,-885,-246,-37
1935,-1805,-256,-931,-5,-58
2023,-1892,-410,-941,162,4
2112,-1898,-407,-869,267,117
2084,-1908,-350,-824,342,275
2025,-1923,-325,-822,354,434
2069,-1889,-267,-832,466,501
2072,-1907,-286,-883,678,591
1998,-1944,-340,-901,771,745
1908,-1953,-430,-895,826,872
1779,-1941,-507,-883,989,962
1668,-1889,-552,-862,1122,1032
1603,-1874,-622,-863,1213,1137
1498,-1910,-683,-850,1234,1315
1263,-1926,-683,-811,1149,1509
974,-1923,-685,-801,1138,1615
729,-1935,-779,-819,1214,1617
595,-1875,-839,-798,1300,1583
500,-1813,-871,-771,1352,1551
354,-1807,-921,-751,1429,1549
233,-1773,-865,-689,1443,1577
93,-1730,-758,-642,1403,1590
-34,-1698,-707,-645,1441,1577
-124,-1684,-668,-653,1447,1576
-235,-1629,-579,-660,1432,1595
-379,-1576,-502,-697,1450,1603
-540,-1514,-488,-771,1395,1623
-743,-1470,-487,-842,1252,1649
-925,-1490,-537,-894,1175,1608
-1031,-1513,-571,-910,1206,1495
-1101,-1563,-534,-911,1259,1340
-1117,-1604,-527,-935,1311,1196
-1117,-1636,-549,-958,1291,1107
-1153,-1614,-563,-971,1194,1085
-1247,-1593,-582,-982,1128,1077
-1345,-1566,-544,-991,1037,1053
-1477,-1570,-512,-1041,919,1011
-1586,-1641,-543,-1112,878,931
-1688,-1700,-553,-1145,813,826
-1729,-1791,-582,-1181,723,695
-1699,-1828,-574,-1187,661,552
-1665,-1846,-556,-1200,583,460
-1637,-1889,-556,-1226,464,411
-1623,-1908,-594,-1253,277,404
-1641,-1936,-617,-1277,76,417
-1747,-2031,-627,-1290,-126,422
-1820,-2095,-622,-1281,-265,348
-1807,-2165,-625,-1278,-322,192
-1808,-2244,-705,-1296,-341,38
-1759,-2293,-790,-1294,-365,-111
-1628,-2397,-854,-1287,-401,-245
-1544,-2512,-901,-1264,-491,-306
-1472,-2576,-961,-1233,-630,-350
-1410,-2618,-1032,-1203,-743,-381
-1369,-2671,-1149,-1153,-859,-404
-1275,-2712,-1201,-1066,-985,-478
-1218,-2770,-1191,-978,-1079,-557
-1178,-2813,-1168,-898,-1133,-641
-1103,-2852,-1203,-837,-1189,-742
-1045,-2871,-1250,-762,-1243,-816
-979,-2903,-1266,-688,-1339,-866
-867,-2932,-1344,-633,-1406,-958
-778,-2935,-1459,-548,-1440,-1030
-746,-2903,-1501,-415,-1536,-1060
-669,-2850,-1447,-281,-1611,-1142
-591,-2778,-1421,-190,-1592,-1242
-525,-2738,-1458,-130,-1609,-1313
-431,-2683,-1485,-45,-1638,-1382
-390,-2619,-1478,38,-1604,-1443
-330,-2581,-1506,99,-1614,-1516
-181,-2564,-1582,158,-1583,-1617
54,-2554,-1700,242,-1520,-1712
337,-2557,-1791,363,-1477,-1763
590,-2512,-1744,523,-1454,-1718
734,-2475,-1624,668,-1462,-1575
828,-2439,-1525,770,-1474,-1425
894,-2405,-1464,831,-1442,-1296
957,-2389,-1427,869,-1418,-1180
1062,-2364,-1405,912,-1412,-1075
1121,-2347,-1377,959,-1401,-948
1141,-2353,-1382,1005,-1336,-847
1159,-2342,-1433,1057,-1188,-812
1179,-2345,-1480,1115,-972,-796
1259,-2338,-1507,1188,-802,-770
1330,-2289,-1466,1272,-674,-721
1376,-2222,-1399,1325,-558,-633
1432,-2171,-1316,1354,-441,-525
1512,-2144,-1270,1359,-337,-409
1579,-2100,-1237,1344,-254,-262
1571,-2056,-1215,1325,-171,-90
1521,-1999,-1196,1314,-150,92
1391,-1954,-1177,1304,-128,257
1213,-1950,-1198,1291,15,327
1101,-1929,-1245,1295,248,306
1000,-1905,-1216,1338,415,286
951,-1876,-1119,1371,545,266
920,-1855,-1051,1357,694,255
892,-1844,-978,1332,800,279
883,-1840,-894,1303,874,324
867,-1817,-829,1258,931,397
815,-1801,-757,1206,952,506
798,-1772,-688,1145,923,643
681,-1777,-700,1076,867,792
404,-1832,-758,1023,906,876
227,-1872,-759,1019,1017,847
203,-1893,-745,1018,1067,780
160,-1924,-711,1015,1123,761
22,-1943,-625,1011,1175,766
-139,-1961,-574,986,1224,744
-165,-1955,-519,967,1208,735
-133,-1936,-397,950,1116,778
-194,-1936,-260,912,999,876
-374,-1970,-158,859,947,924
-626,-2045,-124,790,1047,815
-800,-2109,-142,714,1302,558
-869,-2156,-189,682,1523,319
-910,-2172,-155,702,1609,169
-884,-2188,-107,699,1637,85
-814,-2193,-116,700,1545,117
-824,-2161,-95,722,1334,247
-1039,-2135,2,724,1130,363
-1285,-2134,76,684,1043,343
-1385,-2099,93,630,1107,201
-1399,-2093,15,568,1134,96
-1469,-2106,-81,559,1009,76
-1610,-2091,-81,610,887,62
-1735,-2073,-48,665,785,5
-1825,-2047,-100,708,731,-98
-1901,-1999,-99,796,715,-210
-1913,-1918,59,901,627,-331
-1901,-1844,159,926,525,-433
-1847,-1795,223,913,414,-510
-1711,-1725,282,886,242,-584
-1541,-1674,317,826,113,-646
-1458,-1685,303,762,82,-704
-1383,-1686,195,737,58,-740
-1320,-1633,201,781,-44,-758
-1229,-1568,272,827,-192,-768
-1109,-1497,363,833,-329,-753
-970,-1424,472,791,-456,-731
-829,-1382,515,701,-544,-687
-778,-1372,545,617,-658,-626
-782,-1371,521,502,-744,-605
-728,-1402,390,397,-728,-660
-634,-1401,301,359,-732,-720
-519,-1377,260,363,-771,-750
-459,-1348,241,390,-780,-745
-468,-1304,293,427,-812,-728
-433,-1212,384,434,-911,-721
-386,-1176,483,383,-988,-740
-310,-1164,498,277,-983,-800
-227,-1150,432,181,-949,-867
-148,-1174,355,130,-900,-932
3,-1201,292,91,-878,-980
89,-1190,288,95,-928,-953
91,-1136,347,98,-1019,-896
140,-1107,431,47,-1096,-862
216,-1095,454,-58,-1142,-850
247,-1121,389,-172,-1102,-873
357,-1148,288,-267,-1055,-918
485,-1172,191,-324,-1005,-947
503,-1218,106,-334,-908,-945
533,-1226,135,-313,-831,-968
683,-1250,122,-350,-774,-1011
835,-1285,-2,-394,-724,-1008
846,-1271,-7,-360,-829,-881
799,-1225,85,-359,-1018,-754
772,-1235,83,-436,-1055,-719
808,-1243,76,-505,-985,-749
853,-1215,48,-580,-914,-786
894,-1218,-6,-664,-852,-817
1010,-1238,-7,-729,-786,-871
1125,-1226,10,-808,-674,-922
1226,-1266,14,-921,-518,-979
1322,-1340,6,-1037,-269,-1055
1321,-1421,-108,-1144,52,-1151
1401,-1510,-265,-1188,210,-1255
1563,-1546,-420,-1118,118,-1246
1722,-1508,-466,-969,-172,-1051
1837,-1494,-385,-832,-409,-756
1853,-1511,-246,-759,-479,-504
1877,-1554,-145,-803,-428,-337
1879,-1609,-136,-896,-341,-192
1897,-1720,-159,-972,-319,-75
1971,-1805,-170,-1009,-203,-14
2000,-1844,-191,-1039,-25,38
2029,-1868,-293,-1074,98,125
2018,-1929,-378,-1078,139,276
1956,-1969,-458,-1053,195,414
1878,-1960,-537,-1023,270,514
1800,-1995,-583,-981,436,567
1735,-2024,-636,-935,671,568
1664,-2005,-675,-902,891,560
1642,-1998,-674,-889,1052,602
1632,-2008,-731,-882,1082,713
1598,-1926,-776,-853,1013,891
1442,-1857,-762,-822,874,1159
1239,-1879,-774,-799,662,1443
993,-1867,-736,-746,555,1590
757,-1843,-704,-730,722,1599
592,-1833,-737,-736,898,1586
482,-1795,-786,-720,905,1595
306,-1762,-803,-684,936,1616
74,-1704,-730,-643,999,1619
-144,-1662,-606,-636,1015,1580
-265,-1640,-544,-683,1029,1492
-341,-1596,-552,-751,1060,1372
-428,-1589,-604,-805,1045,1283
-481,-1571,-618,-812,1010,1192
-443,-1519,-584,-801,1036,1079
-412,-1480,-514,-806,1060,1058
-449,-1422,-460,-866,1038,1138
-544,-1430,-470,-976,1003,1212
-662,-1474,-533,-1087,883,1259
-823,-1516,-553,-1158,749,1243
-1008,-1608,-560,-1220,782,1113
-1081,-1716,-589,-1271,947,884
-1092,-1795,-559,-1271,1052,684
-1106,-1792,-488,-1263,921,587
-1060,-1803,-432,-1294,688,567
-1042,-1813,-398,-1359,557,601
-1167,-1844,-530,-1464,458,656
-1316,-1923,-693,-1501,319,656
-1402,-1919,-619,-1447,139,564
-1435,-1954,-588,-1482,1,444
-1460,-2063,-673,-1563,-42,323
-1443,-2185,-797,-1603,-79,183
-1425,-2304,-824,-1580,-139,40
-1329,-2374,-827,-1558,-194,-107
-1191,-2480,-1009,-1559,-199,-224
-1132,-2586,-1188,-1476,-268,-241
-1059,-2624,-1134,-1338,-475,-224
-1043,-2675,-1133,-1274,-632,-206
-1108,-2762,-1231,-1230,-821,-170
-1136,-2836,-1316,-1143,-996,-223
-1115,-2881,-1421,-1037,-1017,-329
-1128,-2891,-1359,-879,-1060,-438
-1094,-2913,-1259,-766,-1146,-571
-1010,-2923,-1263,-702,-1191,-709
-900,-2921,-1372,-647,-1180,-854
-737,-2953,-1542,-549,-1231,-960
-591,-2921,-1564,-381,-1397,-1015
-499,-2883,-1525,-237,-1525,-1080
-345,-2831,-1508,-147,-1571,-1198
-172,-2799,-1554,-88,-1507,-1323
5,-2791,-1624,-7,-1409,-1407
176,-2764,-1623,118,-1350,-1451
325,-2722,-1598,227,-1346,-1436
402,-2711,-1606,319,-1362,-1385
465,-2711,-1673,400,-1349,-1328
581,-2734,-1770,501,-1336,-1294
705,-2703,-1763,640,-1345,-1248
772,-2668,-1724,753,-1354,-1171
785,-2655,-1712,851,-1312,-1102
811,-2618,-1672,960,-1247,-1064
903,-2565,-1610,1050,-1218,-1030
986,-2525,-1598,1108,-1157,-977
1105,-2497,-1613,1162,-1069,-919
1225,-2451,-1576,1238,-988,-846
1318,-2408,-1545,1296,-902,-750
1344,-2376,-1573,1342,-753,-675
1399,-2335,-1635,1407,-633,-597
1479,-2290,-1608,1508,-606,-482
1494,-2201,-1521,1602,-602,-343
1417,-2137,-1464,1643,-513,-239
1459,-2070,-1371,1653,-392,-192
1528,-2031,-1316,1624,-212,-147
1547,-1964,-1306,1583,-42,-62
1542,-1898,-1359,1537,106,41
1603,-1851,-1370,1522,177,157
1660,-1824,-1290,1531,204,291
1635,-1756,-1242,1519,357,437
1570,-1686,-1193,1498,402,600
1474,-1644,-1131,1470,377,757
1301,-1595,-1082,1437,469,856
1119,-1555,-1074,1390,635,877
1053,-1543,-1047,1352,820,853
1085,-1531,-1032,1335,912,878
1054,-1497,-971,1337,952,972
