ax,ay,az,gx,gy,gz
468,-851,369,174,-1080,-918
642,-858,349,32,-971,-971
743,-947,304,-79,-879,-1037
808,-989,233,-121,-823,-1063
827,-974,189,-127,-915,-1005
765,-974,151,-162,-1030,-916
713,-990,91,-228,-1118,-827
712,-979,83,-286,-1247,-735
854,-955,124,-366,-1295,-698
1010,-988,130,-494,-1183,-735
1122,-1077,50,-620,-946,-829
1224,-1195,-86,-713,-715,-940
1357,-1310,-186,-715,-564,-951
1344,-1346,-221,-684,-546,-820
1254,-1344,-173,-655,-557,-659
1149,-1294,-103,-656,-634,-525
1059,-1279,-36,-711,-788,-414
1032,-1343,-51,-830,-872,-349
1056,-1439,-135,-932,-887,-362
1206,-1498,-199,-985,-852,-449
1598,-1466,-206,-999,-642,-584
1822,-1511,-306,-1026,-319,-706
1751,-1618,-484,-1022,-76,-739
1650,-1604,-546,-924,6,-689
1643,-1460,-471,-812,-50,-562
1645,-1282,-301,-782,-165,-349
1596,-1210,-197,-884,-285,-128
1636,-1283,-192,-1077,-319,28
1801,-1412,-253,-1254,-262,110
1983,-1592,-410,-1340,-80,127
2084,-1775,-595,-1334,158,115
2042,-1907,-783,-1236,364,141
2018,-1968,-918,-1073,507,207
1977,-1991,-984,-894,597,303
1876,-1896,-927,-732,622,464
1754,-1738,-795,-650,648,639
1606,-1675,-686,-669,761,756
1457,-1676,-641,-737,832,817
1393,-1671,-641,-807,843,868
1328,-1702,-626,-875,832,964
1214,-1705,-672,-924,828,1086
1014,-1670,-677,-934,841,1174
935,-1579,-652,-978,854,1194
879,-1501,-618,-1049,898,1207
753,-1461,-657,-1133,981,1228
574,-1456,-707,-1209,1035,1218
466,-1471,-801,-1292,1097,1151
367,-1507,-873,-1340,1123,1088
241,-1562,-955,-1345,1078,1074
137,-1658,-1032,-1341,1006,1108
63,-1778,-1107,-1334,914,1176
19,-1846,-1107,-1286,756,1277
-74,-1840,-1016,-1210,632,1354
-209,-1845,-939,-1166,594,1318
-422,-1870,-895,-1143,592,1190
-567,-1933,-920,-1145,628,990
-626,-2001,-952,-1152,617,792
-614,-2082,-1003,-1159,560,639
-625,-2207,-1074,-1157,426,606
-680,-2329,-1094,-1115,195,646
-696,-2381,-1040,-1029,-80,681
-677,-2380,-946,-927,-305,680
-739,-2406,-860,-829,-436,631
-787,-2436,-892,-764,-596,538
-742,-2488,-920,-718,-676,417
-642,-2468,-915,-679,-766,334
-582,-2483,-918,-720,-792,208
-549,-2541,-948,-766,-730,1
-420,-2581,-1027,-779,-671,-226
-242,-2591,-1067,-729,-717,-352
-129,-2595,-1085,-654,-834,-349
-90,-2595,-1066,-572,-993,-260
-74,-2565,-1035,-504,-1177,-146
-95,-2580,-1058,-472,-1321,-38
-174,-2608,-1127,-457,-1434,31
-352,-2624,-1165,-427,-1481,-9
-478,-2641,-1256,-366,-1430,-233
-467,-2654,-1339,-283,-1365,-522
-344,-2610,-1383,-180,-1314,-735
-176,-2535,-1411,-76,-1312,-821
-43,-2501,-1433,17,-1355,-828
167,-2458,-1394,139,-1439,-829
468,-2351,-1259,254,-1485,-848
740,-2239,-1150,314,-1425,-885
864,-2218,-1117,344,-1330,-895
943,-2201,-1110,379,-1307,-842
980,-2152,-1090,425,-1314,-730
1046,-2093,-1085,438,-1323,-648
1154,-2113,-1122,431,-1241,-643
1287,-2165,-1207,438,-1043,-688
1406,-2203,-1288,464,-865,-712
1479,-2285,-1387,537,-750,-643
1475,-2283,-1394,656,-726,-503
1459,-2237,-1332,749,-710,-375
1405,-2190,-1289,801,-687,-269
1309,-2167,-1257,843,-597,-204
1243,-2135,-1274,869,-493,-186
1248,-2121,-1303,899,-374,-190
1306,-2102,-1311,934,-230,-194
1357,-2048,-1245,976,-66,-206
1447,-2010,-1165,980,168,-251
1524,-2010,-1164,966,371,-253
1514,-2049,-1201,989,482,-164
1499,-1993,-1183,1047,499,-6
1433,-1928,-1126,1079,525,180
1324,-1895,-1112,1066,580,334
1181,-1856,-1095,1061,626,441
1044,-1792,-1070,1051,682,500
1012,-1734,-1012,1019,767,497
1058,-1717,-952,957,956,414
1139,-1718,-948,902,1176,311
1228,-1738,-981,864,1316,289
1284,-1777,-983,836,1373,403
1192,-1823,-986,820,1398,581
984,-1860,-967,835,1371,744
715,-1860,-907,865,1345,851
457,-1909,-906,862,1356,870
272,-1967,-923,865,1347,832
150,-2028,-909,888,1369,747
46,-2090,-889,912,1417,643
-21,-2106,-839,949,1447,535
-93,-2105,-749,978,1453,446
-201,-2120,-640,977,1417,385
-278,-2115,-534,967,1355,316
-335,-2119,-471,943,1292,247
-432,-2167,-460,912,1166,232
-539,-2193,-435,894,998,252
-618,-2181,-394,876,848,239
-668,-2184,-399,841,767,153
-652,-2255,-501,815,719,26
-595,-2367,-655,862,706,-101
-468,-2392,-712,995,674,-183
-320,-2279,-573,1155,606,-209
-379,-2188,-419,1254,579,-220
-492,-2103,-319,1297,536,-251
-487,-1979,-200,1314,442,-283
-495,-1898,-116,1273,348,-283
-534,-1886,-96,1202,270,-284
-472,-1842,-39,1160,170,-321
-404,-1769,48,1113,85,-351
-427,-1714,115,1034,14,-381
-464,-1673,148,940,-46,-433
-478,-1664,128,841,-101,-493
-476,-1656,59,763,-171,-517
-488,-1642,10,719,-265,-513
-465,-1642,-40,693,-344,-511
-405,-1653,-35,691,-436,-513
-264,-1608,25,712,-503,-532
-168,-1547,108,721,-555,-546
-146,-1518,163,690,-622,-552
-55,-1441,242,644,-697,-578
50,-1396,277,546,-728,-622
145,-1451,211,421,-694,-656
243,-1534,149,343,-681,-675
340,-1570,112,323,-713,-668
433,-1582,87,326,-751,-631
495,-1584,74,345,-813,-574
492,-1572,50,370,-853,-513
484,-1567,33,400,-876,-475
519,-1522,75,438,-918,-441
565,-1452,177,445,-931,-413
574,-1387,280,387,-891,-421
590,-1378,324,299,-796,-492
699,-1383,310,200,-733,-564
808,-1387,283,105,-718,-567
830,-1430,219,14,-711,-514
797,-1480,136,-36,-729,-451
744,-1518,61,-32,-796,-384
707,-1490,43,1,-893,-302
697,-1405,96,19,-971,-224
777,-1344,187,-29,-938,-217
876,-1368,223,-131,-814,-283
906,-1396,210,-203,-714,-371
972,-1384,192,-264,-635,-458
1044,-1408,142,-351,-547,-502
1063,-1440,88,-417,-508,-489
1045,-1445,26,-441,-516,-456
1069,-1425,-1,-441,-533,-418
1149,-1376,12,-449,-540,-380
1203,-1337,30,-482,-503,-356
1251,-1320,30,-530,-395,-384
1336,-1354,1,-575,-278,-431
1449,-1352,18,-612,-183,-447
1481,-1337,36,-657,-79,-442
1458,-1297,52,-717,8,-425
1416,-1311,20,-799,58,-393
1442,-1323,0,-880,20,-319
1522,-1364,-66,-964,17,-227
1600,-1474,-152,-1033,-8,-92
1628,-1555,-192,-1067,-25,85
1592,-1634,-242,-1078,-20,231
1590,-1638,-253,-1065,-12,295
1536,-1651,-312,-1079,121,271
1450,-1709,-436,-1097,289,217
1483,-1743,-541,-1077,427,174
1559,-1724,-545,-1034,514,209
1512,-1740,-456,-1005,560,331
1389,-1794,-380,-992,575,467
1272,-1817,-299,-972,524,598
1171,-1774,-214,-972,463,709
1057,-1726,-186,-1024,479,753
958,-1707,-213,-1111,522,724
894,-1716,-306,-1206,612,650
859,-1751,-475,-1282,729,555
852,-1819,-661,-1300,820,487
883,-1837,-787,-1250,855,480
899,-1819,-840,-1159,855,538
876,-1796,-839,-1071,843,630
764,-1742,-795,-989,800,729
636,-1691,-716,-943,749,788
539,-1629,-662,-971,713,823
430,-1628,-659,-1041,692,852
392,-1614,-627,-1111,679,850
388,-1607,-623,-1180,725,786
379,-1627,-659,-1235,783,690
374,-1640,-699,-1261,818,616
375,-1629,-714,-1272,809,601
356,-1637,-734,-1282,764,624
294,-1685,-746,-1281,720,644
210,-1749,-765,-1276,663,679
117,-1843,-790,-1286,553,746
5,-1958,-829,-1318,393,846
-163,-2084,-903,-1322,216,925
-347,-2132,-970,-1309,110,911
-420,-2203,-1010,-1306,83,828
-562,-2273,-1048,-1263,102,686
-568,-2291,-1034,-1200,136,483
-506,-2229,-939,-1122,116,328
-464,-2182,-816,-1093,78,237
-444,-2196,-794,-1119,-9,195
-500,-2261,-877,-1146,-200,219
-558,-2333,-979,-1162,-387,264
-565,-2441,-1062,-1149,-544,280
-608,-2528,-1086,-1075,-684,257
-712,-2531,-1063,-970,-789,183
-801,-2497,-1034,-887,-871,59
-827,-2504,-1052,-841,-914,-101
-794,-2551,-1116,-796,-983,-253
-708,-2544,-1184,-725,-1100,-357
-536,-2503,-1208,-657,-1227,-414
-289,-2508,-1208,-618,-1309,-468
-20,-2535,-1247,-578,-1323,-543
181,-2546,-1255,-482,-1335,-606
309,-2537,-1251,-353,-1360,-602
388,-2536,-1274,-229,-1393,-535
502,-2501,-1254,-89,-1441,-458
598,-2426,-1154,34,-1487,-414
564,-2380,-1069,93,-1438,-445
478,-2393,-1080,87,-1309,-567
526,-2425,-1139,73,-1222,-700
626,-2490,-1278,98,-1211,-759
793,-2561,-1463,143,-1171,-762
1015,-2644,-1560,227,-1078,-756
1221,-2678,-1613,371,-956,-760
1377,-2596,-1543,578,-855,-746
1509,-2455,-1404,742,-762,-674
1627,-2381,-1362,804,-659,-533
1657,-2362,-1386,870,-617,-338
1582,-2321,-1381,949,-575,-185
1456,-2213,-1308,1037,-513,-76
1339,-2097,-1231,1075,-399,-32
1259,-2073,-1239,1053,-221,-57
1216,-2089,-1311,1042,-84,-77
1246,-2074,-1365,1065,14,-52
1280,-2028,-1339,1127,92,13
1194,-1962,-1311,1189,141,119
1121,-1883,-1254,1229,163,241
1148,-1772,-1131,1264,144,347
1132,-1696,-1054,1239,173,439
1069,-1663,-1006,1188,230,505
1029,-1604,-927,1136,273,535
966,-1583,-854,1059,374,505
872,-1651,-847,966,543,409
840,-1738,-894,910,679,301
862,-1773,-933,909,743,249
870,-1763,-956,909,787,270
874,-1762,-943,892,834,314
874,-1794,-946,865,914,335
827,-1842,-962,852,974,352
752,-1879,-944,864,1002,384
685,-1890,-878,870,1005,439
579,-1899,-796,861,1007,491
394,-1911,-765,839,1018,502
251,-1913,-736,813,1035,451
269,-1913,-697,763,1090,343
322,-1949,-711,693,1178,241
286,-2037,-807,650,1216,207
263,-2074,-823,663,1157,254
189,-2111,-807,679,1087,331
60,-2217,-860,698,1049,383
-41,-2269,-857,778,980,393
-140,-2240,-754,879,919,350
-264,-2204,-660,929,931,254
-341,-2186,-610,945,934,144
-294,-2145,-528,945,921,55
-245,-2149,-482,917,914,11
-294,-2191,-462,898,857,1
-326,-2163,-402,912,768,-9
-353,-2120,-329,912,667,1
-431,-2126,-278,893,578,19
-479,-2119,-271,873,488,3
-486,-2123,-298,864,400,-39
-477,-2144,-347,866,364,-95
-461,-2153,-404,871,335,-147
-466,-2147,-401,914,268,-184
-453,-2095,-350,966,194,-213
-456,-2041,-267,1001,139,-234
-492,-1975,-192,1028,56,-241
-499,-1884,-107,1045,-58,-237
-525,-1803,-21,1043,-166,-224
-523,-1723,68,1004,-289,-232
-472,-1676,123,937,-374,-262
-442,-1652,152,868,-450,-288
-388,-1616,164,805,-543,-312
-354,-1588,192,738,-614,-335
-369,-1576,186,652,-662,-362
-353,-1578,165,563,-708,-420
-293,-1587,137,486,-718,-495
-249,-1605,81,435,-716,-575
-112,-1591,67,415,-740,-656
75,-1553,95,402,-755,-714
263,-1520,140,366,-737,-734
387,-1541,150,310,-693,-733
498,-1561,137,282,-698,-713
579,-1549,153,282,-734,-660
572,-1548,156,271,-745,-605
515,-1571,104,254,-757,-560
406,-1597,55,247,-798,-496
232,-1605,18,261,-863,-420
168,-1556,50,272,-945,-387
224,-1491,118,230,-965,-419
351,-1477,143,142,-898,-508
574,-1456,162,53,-800,-618
700,-1493,115,-35,-692,-703
758,-1561,19,-81,-652,-724
846,-1589,-55,-53,-690,-677
851,-1562,-73,5,-757,-558
728,-1506,-40,49,-828,-418
592,-1420,24,70,-915,-328
578,-1300,144,29,-968,-306
644,-1256,188,-121,-905,-368
815,-1343,105,-304,-736,-521
1027,-1425,27,-412,-573,-675
1182,-1461,-58,-448,-447,-748
1289,-1494,-119,-448,-408,-725
1345,-1489,-134,-416,-406,-624
1298,-1429,-91,-367,-462,-460
1254,-1320,14,-341,-547,-309
1261,-1235,96,-387,-555,-232
1343,-1234,130,-502,-465,-228
1385,-1292,111,-621,-347,-244
1418,-1378,34,-715,-248,-259
1467,-1448,-23,-777,-182,-240
1429,-1497,-78,-815,-142,-176
1400,-1513,-128,-836,-123,-103
1457,-1487,-155,-852,-104,-32
1461,-1484,-176,-874,-103,63
1439,-1504,-232,-911,-53,136
1453,-1554,-294,-941,20,179
1463,-1649,-320,-964,112,217
1427,-1745,-320,-974,192,259
1448,-1778,-303,-965,235,300
1505,-1789,-303,-972,301,337
1500,-1853,-383,-991,384,389
1470,-1918,-477,-986,461,418
1450,-1891,-519,-922,532,405
1375,-1831,-522,-861,602,413
1281,-1770,-531,-849,688,444
1222,-1763,-560,-863,749,480
1206,-1759,-543,-866,803,525
1178,-1776,-481,-867,843,591
1129,-1797,-428,-871,824,684
1041,-1776,-370,-882,763,795
951,-1747,-338,-931,752,860
886,-1766,-393,-1022,807,855
827,-1823,-520,-1102,891,805
