ax,ay,az,gx,gy,gz
43,54,2064,4,3,2
42,50,2064,4,3,1
41,51,2065,3,5,0
49,54,2064,3,4,1
46,52,2064,4,3,0
48,50,2066,4,5,0
43,51,2067,3,4,0
46,55,2067,3,4,0
48,51,2069,3,5,1
42,51,2069,4,4,0
50,52,2069,3,4,0
44,54,2063,2,2,0
44,57,2072,2,4,0
42,52,2064,2,2,1
39,53,2064,2,5,2
47,52,2065,4,4,-1
46,53,2069,3,5,0
46,56,2067,3,4,1
47,53,2061,5,5,1
51,54,2064,3,5,0
48,55,2065,4,4,2
41,52,2067,4,4,1
39,53,2066,3,4,1
44,52,2068,3,3,1
48,53,2066,5,4,1
39,48,2067,4,3,2
39,53,2067,2,4,2
47,56,2065,4,4,2
45,50,2066,3,3,1
42,50,2068,3,5,1
44,51,2065,3,5,2
43,52,2068,3,3,1
47,54,2068,3,4,0
42,52,2064,3,5,1
45,50,2067,3,4,1
49,50,2068,3,4,1
49,54,2070,2,3,1
41,53,2068,3,3,2
48,54,2063,3,3,1
42,50,2063,2,5,0
45,50,2069,2,4,2
44,57,2071,3,3,1
44,52,2060,4,4,0
49,54,2062,3,5,0
42,50,2070,1,5,1
43,52,2069,4,6,0
37,51,2068,3,5,1
40,53,2065,2,5,1
44,52,2063,2,3,1
42,49,2064,2,4,1
42,52,2066,2,4,1
47,53,2065,3,4,-2
49,53,2068,4,5,1
44,55,2069,3,4,2
44,51,2067,4,3,1
42,51,2067,3,3,2
38,52,2065,2,4,1
43,53,2069,2,3,1
46,51,2064,1,6,1
47,54,2065,4,4,0
45,58,2067,4,5,1
40,55,2066,2,5,1
44,51,2068,3,5,1
41,52,2068,3,4,1
44,49,2063,2,3,0
45,50,2064,2,4,0
47,53,2063,2,4,1
42,55,2067,2,5,1
48,53,2067,4,4,1
42,52,2064,3,4,-1
45,55,2067,3,4,1
45,53,2064,2,4,1
49,51,2066,3,3,2
45,51,2065,5,5,1
41,49,2062,4,5,0
42,56,2061,3,5,0
45,51,2067,3,4,2
44,51,2064,3,4,1
47,55,2061,3,5,0
48,52,2068,3,6,0
44,54,2066,3,5,1
46,53,2065,2,5,0
51,51,2067,3,5,1
49,52,2064,3,5,1
46,54,2068,3,5,0
43,51,2070,3,4,1
40,52,2068,3,4,2
46,53,2067,4,4,0
48,55,2065,2,4,0
