ax,ay,az,gx,gy,gz
-1267,-401,1052,373,528,339
-1383,-471,1115,374,649,368
-1479,-550,1115,300,641,419
-1542,-648,1097,252,489,382
-1645,-780,1103,294,300,337
-1719,-645,1078,351,64,339
-1805,-621,1216,879,-280,194
-1887,-599,1335,567,-189,539
-2040,-788,1243,-491,225,1167
-1962,-852,1315,-216,194,858
-1722,-617,1317,35,-77,8
-1475,-374,1305,-3,-259,-612
-1410,-232,1319,97,-216,-941
-1492,-132,1357,241,-65,-1176
-1451,-281,1401,208,145,-1389
-1349,-313,1255,-143,399,-1252
-1427,-615,1275,-1037,668,-344
-1555,-796,1342,-1625,811,752
-1581,-652,1324,-1742,864,1229
-1561,-565,1248,-1914,819,1178
-1442,-505,1118,-2050,673,811
-1479,-806,999,-2087,766,684
-1587,-1135,1012,-1704,784,406
-1327,-977,793,-989,409,-1023
-1217,-811,643,-831,259,-1950
-1343,-942,716,-976,153,-2048
-1577,-1392,769,-959,20,-1859
-1639,-1561,632,-1030,-131,-1488
-1466,-1434,617,-855,-375,-1092
-1408,-1041,654,-254,-360,-54
-1408,-592,682,-511,25,1324
-1490,-633,688,-1227,576,2134
-1718,-1060,787,-984,805,2723
-1868,-1224,827,-29,524,2727
-1764,-1283,731,435,89,1510
-1566,-1420,773,1335,-545,-480
-1410,-602,689,2764,-993,-1820
-1782,-474,886,1821,-286,-686
-1837,-605,1010,111,0,328
-1433,-653,1013,557,-362,-136
-1323,-270,858,775,-136,-18
-1584,-340,1001,-289,519,1342
-1741,-565,1013,-1093,864,2149
-1695,-887,971,-1170,625,1506
-1540,-1023,946,-211,-127,314
-1239,-520,756,422,-463,-706
-1458,-475,677,220,15,-342
-1920,-1175,1018,187,180,625
-1852,-1048,1013,982,-567,251
-1595,-486,887,977,-820,-198
-1548,-421,979,486,-499,-259
-1615,-601,1051,214,-252,-79
-1560,-576,1026,79,-154,46
-1509,-477,1025,20,-7,132
-1517,-544,1016,-58,116,236
-1544,-687,984,-108,162,309
-1590,-711,952,-106,190,325
-1635,-618,964,-123,194,371
-1657,-554,985,-183,177,462
-1696,-589,989,-260,158,524
-1722,-613,967,-294,128,512
-1723,-600,939,-291,114,460
-1688,-604,904,-322,82,390
-1627,-601,881,-345,42,338
-1604,-572,926,-300,-5,299
-1601,-627,938,-240,-53,183
-1580,-567,871,-219,-50,164
-1659,-634,914,-206,7,221
-1772,-820,913,-177,14,144
-1901,-746,906,-167,-104,54
-2000,-630,969,-147,-213,54
-1912,-646,988,-146,-324,-23
-1726,-661,973,-173,-439,-133
-1486,-679,911,-56,-567,-318
-1341,-719,876,201,-596,-587
-1297,-700,886,331,-564,-863
-1314,-585,954,419,-541,-1047
-1360,-401,1044,515,-464,-1051
-1368,-334,1071,591,-295,-871
-1420,-457,1037,535,-144,-711
-1655,-695,1019,410,-159,-670
-1869,-974,996,371,-350,-703
-1890,-1115,950,364,-607,-629
-1654,-1069,964,544,-779,-581
-1424,-954,972,720,-821,-561
-1329,-774,1010,719,-802,-434
-1329,-652,1147,716,-755,-371
-1424,-577,1231,704,-668,-385
-1474,-550,1266,582,-577,-445
-1316,-502,1128,393,-463,-529
-1187,-440,1070,279,-304,-558
-1340,-504,1224,188,-215,-505
-1587,-619,1249,68,-220,-517
-1649,-614,1224,-29,-257,-597
-1544,-716,1226,-128,-268,-617
-1404,-752,1191,-223,-273,-578
-1293,-805,1162,-212,-295,-647
-1277,-887,1171,-120,-286,-733
-1332,-848,1246,-121,-315,-761
-1329,-858,1254,-247,-395,-852
-1041,-776,1236,-200,-407,-1010
-1051,-731,1194,-91,-322,-1094
-1291,-724,1187,-33,-317,-1149
-1382,-789,1164,14,-496,-1241
-1292,-867,1162,112,-585,-1176
-1248,-905,1143,86,-492,-803
