ax,ay,az,gx,gy,gz
-835,-2128,52,601,714,505
-820,-1925,-45,1045,-156,606
-679,-1871,-144,997,-946,418
-627,-1810,-156,896,-1325,407
-697,-1741,-94,798,-1416,343
-764,-1748,-119,751,-1292,120
-725,-1792,-175,715,-871,-148
-753,-1851,-117,659,-445,-572
-959,-1811,151,612,203,-948
-1105,-1877,147,446,843,-1284
-986,-1808,90,473,867,-1423
-913,-1771,92,515,462,-1178
-916,-1817,68,359,165,-853
-843,-1808,9,188,14,-660
-794,-1850,-43,116,-73,-527
-813,-1981,-75,186,-13,-502
-773,-2066,-134,279,90,-438
-663,-2019,-121,344,8,-200
-605,-1983,-29,389,-75,147
-689,-2036,78,342,19,315
-700,-2060,107,232,253,130
-650,-1988,125,263,576,-128
-645,-1982,91,327,755,-311
-633,-2029,66,393,710,-425
-589,-2062,60,491,555,-370
-527,-2036,53,513,274,-134
-474,-2033,-2,461,61,138
-474,-2081,-96,440,-13,382
-511,-2101,-110,473,-60,562
-535,-2076,-98,505,-138,719
-553,-2013,-33,540,-206,849
-551,-1915,27,526,-252,959
-553,-1835,38,424,-290,1068
-578,-1833,15,283,-289,1248
-505,-1796,-49,25,-183,1539
-548,-1668,-6,-437,219,1895
-752,-1753,44,-889,559,2139
-892,-1787,3,-1252,589,1918
-1015,-1837,-83,-1459,605,1574
-1138,-1830,-43,-1428,715,1188
-1119,-1758,-8,-1483,801,657
-1077,-1751,-47,-1590,899,76
-1107,-1820,-33,-1593,858,-313
-1074,-1798,-57,-1530,648,-439
-989,-1731,-66,-1587,497,-441
-947,-1759,-126,-1903,520,-378
-997,-1933,-223,-2069,553,-346
-1007,-2039,-302,-1978,431,-354
-1015,-2116,-344,-1784,234,-339
-1102,-2272,-503,-1565,22,-293
-1035,-2153,-409,-1296,-496,-228
-870,-1982,-423,-1231,-1017,-123
-911,-1940,-370,-1123,-1164,57
-883,-1729,-79,-1026,-1293,281
-796,-1595,-19,-1117,-721,309
-951,-1760,-250,-1192,588,55
-1109,-1758,-278,-921,1332,-252
-1241,-1721,-387,-574,1346,-565
-1294,-1870,-536,-145,847,-740
-1290,-1920,-474,267,-250,-687
-1177,-1775,-517,507,-1217,-661
-941,-1533,-477,520,-1342,-711
-813,-1471,-375,334,-823,-691
-821,-1580,-305,173,-451,-515
-814,-1626,-251,67,-198,-354
-871,-1676,-260,-57,224,-336
-933,-1770,-283,-159,553,-461
-957,-1864,-343,-223,884,-725
-932,-1943,-537,-206,1083,-1078
-837,-1936,-533,-20,1003,-1317
-718,-1811,-368,89,879,-1516
-552,-1770,-318,-44,1278,-1918
-388,-1923,-512,-234,1640,-2180
-391,-2068,-671,-202,1567,-2100
-349,-2026,-600,-84,1570,-2046
-240,-1968,-587,-62,1902,-2019
-186,-1951,-620,-52,1821,-1711
-206,-1931,-586,-84,1424,-1207
-202,-1888,-564,-153,1190,-778
-290,-1949,-500,-292,1081,-559
-424,-2010,-551,-430,1215,-708
-334,-1906,-576,-385,1459,-1006
-339,-1972,-591,-364,1320,-1041
-312,-1968,-646,-392,1162,-1016
-284,-1956,-675,-382,1096,-941
-274,-1987,-741,-348,981,-818
-252,-1966,-803,-253,763,-631
-234,-1892,-762,-161,529,-303
-257,-1900,-754,-166,351,100
-197,-1930,-827,-247,205,446
-130,-1978,-888,-236,-16,827
-193,-2022,-860,-131,-437,1214
-297,-1973,-792,-103,-1083,1566
-377,-1976,-782,-140,-1716,1972
-467,-1908,-655,-70,-1937,2343
-591,-1906,-518,-167,-1642,2547
-582,-2029,-640,-269,-1622,2414
-549,-1961,-645,-105,-1568,2287
-692,-1934,-573,19,-1230,2029
-850,-2048,-501,-31,-836,1540
-806,-2010,-559,-125,-436,965
-706,-2007,-680,-106,-269,566
-594,-1983,-747,-27,-282,391
-534,-1933,-720,41,-142,389
-496,-1861,-634,50,294,444
-557,-1879,-648,60,592,485
-716,-1940,-599,140,622,415
-847,-1965,-362,160,935,-30
-998,-1961,-381,-29,1689,-986
-991,-1821,-552,-224,2707,-2187
-882,-1825,-557,-287,3237,-3038
-783,-1951,-680,-282,2964,-3289
-630,-1877,-659,-276,2546,-3197
-402,-1892,-745,-411,1991,-2936
-196,-1885,-878,-500,1359,-2489
-46,-1888,-967,-458,823,-1985
69,-1859,-1034,-330,529,-1618
120,-1798,-996,-162,288,-1198
171,-1726,-839,-26,97,-824
182,-1697,-773,-31,300,-687
116,-1749,-808,-55,425,-624
83,-1813,-843,-33,363,-512
51,-1871,-853,5,277,-348
65,-1912,-852,61,149,-169
115,-1913,-826,133,-54,22
129,-1938,-813,203,-346,261
149,-2047,-917,302,-801,575
225,-2158,-1040,496,-1797,1110
220,-1999,-1030,784,-2925,1785
218,-2106,-1208,930,-3895,2546
207,-2260,-1367,1205,-5225,3468
-86,-2153,-1169,1728,-6147,4268
-470,-1962,-633,2117,-6102,4594
-850,-1751,75,2341,-5272,4589
-890,-1215,935,2127,-2922,4013
-1046,-1231,727,1087,484,2666
-1318,-1670,189,228,1730,1539
-1363,-1733,-42,-186,1330,717
-1229,-1632,-220,-364,1203,-4
-905,-1530,-317,-532,1343,-520
-720,-1607,-459,-787,1526,-701
-746,-1734,-459,-954,1612,-653
-971,-1890,-537,-1094,2007,-830
-962,-1965,-839,-1062,2630,-1492
-769,-1936,-847,-855,2855,-2083
-760,-1973,-836,-702,2774,-2312
-701,-1938,-810,-622,2683,-2343
-625,-1992,-817,-594,2459,-2234
-508,-2061,-924,-532,2315,-2177
-346,-2066,-947,-350,2153,-2108
-209,-2049,-932,-149,1921,-1992
-68,-1975,-853,8,1599,-1801
-4,-1998,-820,60,1372,-1552
13,-2018,-856,106,1222,-1322
-3,-1982,-772,173,1067,-1082
-30,-1947,-631,155,1002,-882
-46,-1959,-673,59,907,-746
-73,-1941,-688,-59,755,-654
-97,-1958,-781,-194,629,-656
-64,-1968,-826,-164,445,-566
-29,-1975,-859,-101,104,-299
-28,-1960,-893,-33,-296,59
-28,-1938,-904,44,-753,440
34,-1993,-1042,192,-1408,876
122,-1953,-1101,470,-2298,1508
66,-1905,-1111,846,-3299,2332
-139,-1853,-1042,1146,-4293,3239
-425,-1814,-843,1484,-4984,3936
-710,-1796,-547,1721,-5126,4198
-849,-1700,-253,1740,-4797,4078
-1055,-1743,-133,1651,-4032,3773
-1096,-1624,-98,1598,-3357,3321
-1072,-1579,-7,1450,-2637,2616
-961,-1441,301,1103,-1221,1734
-890,-1485,268,327,975,522
-891,-1639,98,-468,2745,-610
-890,-1866,-212,-993,3692,-1462
-853,-1983,-429,-1272,3939,-1922
-921,-2186,-674,-1357,3988,-2329
-963,-2408,-938,-1066,3601,-2680
-689,-2195,-918,-599,3138,-3000
-470,-2085,-825,-215,2990,-3249
-153,-1968,-585,-89,2612,-3175
-253,-1920,-631,-337,1817,-2124
-424,-1927,-597,-316,1421,-1417
-428,-1951,-651,-301,1300,-1193
-337,-1917,-670,-272,1064,-1186
-184,-1829,-677,-151,1225,-1516
-120,-1891,-738,2,1463,-1752
-147,-1934,-755,116,1232,-1650
-118,-1897,-739,203,822,-1369
-94,-1913,-758,203,540,-1064
-81,-1909,-796,180,234,-724
-86,-1907,-827,194,20,-417
-163,-1965,-860,177,-191,-55
-178,-2001,-895,172,-585,360
-118,-2034,-925,236,-999,734
-44,-2026,-926,404,-1419,1101
-13,-2123,-1026,600,-1968,1574
10,-2161,-1083,930,-2834,2201
-97,-2047,-941,1338,-3652,2898
-357,-1945,-648,1658,-3934,3383
-538,-1988,-440,1795,-3919,3561
-660,-1930,-228,1742,-3606,3393
-768,-1793,-51,1675,-3121,3137
-826,-1787,-18,1498,-2497,2757
-806,-1856,-13,1247,-1851,2245
-739,-1789,112,978,-1150,1641
-556,-1580,389,483,126,706
-582,-1520,360,-247,1893,-430
-705,-1679,192,-902,3133,-1343
-956,-2096,-98,-1360,3641,-1915
-1059,-2069,-380,-1379,3454,-2391
-917,-1917,-512,-1285,3064,-2901
-691,-1994,-722,-1208,2832,-3214
-374,-1929,-742,-1004,2598,-3040
-263,-1948,-748,-782,1795,-2361
-321,-1957,-727,-607,1024,-1661
-341,-1934,-748,-492,640,-1175
-352,-1983,-812,-399,368,-815
-329,-1988,-855,-247,165,-582
-290,-1991,-815,-44,-83,-387
-245,-1936,-735,90,-216,-237
-247,-1944,-703,136,-169,-99
-213,-1976,-740,173,-249,104
-207,-2043,-802,238,-398,342
-180,-2189,-971,394,-695,667
-115,-2248,-1047,730,-1331,1190
-143,-2173,-936,1160,-2101,1831
-265,-2114,-755,1521,-2673,2330
-458,-2130,-580,1755,-3047,2647
-576,-2110,-459,1905,-3244,2683
-667,-1851,-97,2018,-3111,2527
-727,-1553,379,1756,-2266,2131
-700,-1454,571,990,-675,1402
-727,-1569,466,179,624,742
-722,-1665,335,-513,1500,83
-682,-1654,224,-1068,2523,-785
-908,-1947,-86,-1450,3293,-1730
-944,-2049,-526,-1542,2872,-2433
-670,-1904,-484,-1427,2388,-2747
