ax,ay,az,gx,gy,gz
-800,96,1828,-9,-20,4
-794,96,1821,-9,-32,4
-796,99,1831,-10,-36,5
-786,101,1829,-10,-31,3
-788,100,1833,-10,-21,3
-790,97,1827,-9,-7,2
-790,95,1828,-10,6,1
-793,98,1830,-12,16,0
-796,97,1829,-11,20,1
-799,95,1824,-12,16,0
-804,94,1826,-10,8,2
-798,99,1824,-9,-5,3
-797,99,1824,-12,-20,4
-796,98,1826,-11,-32,5
-795,100,1832,-10,-36,6
-792,97,1831,-9,-34,7
-790,97,1832,-9,-28,6
-791,97,1832,-11,-16,5
-789,96,1834,-11,-4,3
-792,96,1828,-10,5,1
-791,98,1826,-12,12,1
-794,99,1831,-12,14,2
-796,100,1833,-11,11,0
-803,96,1825,-10,3,0
-796,96,1827,-11,-4,2
-795,103,1830,-10,-12,4
-802,99,1830,-10,-18,4
-797,99,1826,-9,-21,3
-792,96,1825,-9,-22,4
-790,97,1835,-10,-22,3
-791,95,1829,-11,-20,3
-793,101,1826,-10,-15,3
-786,99,1825,-9,-11,3
-793,96,1835,-12,-4,2
-791,94,1831,-11,1,2
-795,98,1830,-11,4,1
-798,96,1837,-13,8,1
-798,102,1832,-11,8,0
-799,97,1824,-10,4,2
-799,97,1826,-13,-2,3
-800,96,1828,-12,-9,3
-796,96,1825,-10,-16,3
-799,100,1821,-10,-24,4
-793,98,1827,-10,-27,4
-794,97,1833,-9,-28,4
-791,100,1834,-10,-23,4
-791,98,1833,-11,-16,4
-792,101,1832,-11,-8,2
-792,100,1829,-12,1,1
-795,100,1831,-11,7,1
-798,98,1833,-11,9,2
-798,97,1826,-11,9,2
-797,96,1818,-12,3,2
-802,96,1829,-12,-5,2
-798,101,1824,-10,-13,3
-797,97,1828,-9,-18,4
-795,102,1836,-10,-19,4
-791,97,1828,-10,-21,5
-790,100,1826,-9,-20,5
-789,101,1826,-9,-16,4
-793,100,1831,-11,-13,4
-794,98,1830,-11,-12,4
-795,100,1837,-11,-6,2
-790,102,1834,-11,0,3
-789,101,1828,-11,6,3
-793,97,1826,-11,13,1
-800,94,1825,-11,14,1
-800,98,1824,-12,12,0
-799,98,1821,-11,2,1
-804,101,1822,-11,-12,4
-795,97,1826,-10,-27,4
-793,98,1827,-9,-39,7
-792,103,1835,-10,-42,6
-786,101,1838,-10,-40,6
-785,99,1831,-9,-29,6
-786,100,1830,-12,-12,4
-786,100,1831,-10,1,1
-792,103,1834,-12,17,-1
-794,100,1828,-13,24,0
-797,97,1828,-12,24,-1
-799,95,1832,-11,16,2
-802,93,1822,-12,4,1
-801,95,1825,-11,-7,2
-798,98,1824,-7,-19,4
-802,98,1828,-10,-27,3
-797,99,1833,-10,-31,4
-791,98,1835,-11,-31,5
-787,97,1830,-11,-27,6
-789,101,1828,-11,-23,4
-788,101,1835,-12,-13,4
-789,99,1831,-9,-7,3
-791,97,1827,-10,-1,2
-792,102,1830,-13,7,2
-791,102,1829,-10,12,0
-797,101,1830,-10,15,1
-797,99,1827,-11,10,1
-798,95,1830,-11,6,2
-797,98,1823,-10,-5,4
-796,101,1829,-10,-15,3
-800,101,1834,-11,-24,5
-795,98,1822,-8,-30,5
-796,98,1829,-11,-30,5
-789,97,1826,-9,-25,4
-786,92,1825,-10,-17,4
-791,98,1832,-12,-5,2
-791,100,1828,-11,3,2
-795,94,1829,-12,10,2
-793,98,1826,-13,12,1
-801,96,1830,-12,8,1
-794,99,1826,-12,2,3
-798,103,1822,-11,-9,3
-798,99,1829,-11,-17,4
-797,92,1829,-9,-25,3
-796,98,1833,-11,-28,5
-793,103,1832,-12,-26,5
-793,99,1833,-10,-17,3
-790,99,1828,-11,-6,2
-792,99,1828,-11,4,1
-789,98,1824,-13,14,1
-797,97,1829,-12,16,1
-802,99,1834,-11,10,1
-796,94,1825,-12,-1,2
-797,95,1821,-10,-16,4
-802,98,1826,-11,-27,6
-788,99,1829,-10,-37,6
-787,95,1832,-8,-37,5
-791,96,1834,-10,-29,3
-790,101,1838,-9,-17,4
-788,100,1831,-10,1,2
-787,101,1831,-11,13,1
-793,99,1830,-13,21,1
-798,96,1826,-12,22,0
-800,95,1823,-13,14,0
-801,96,1821,-12,5,1
-794,92,1827,-9,-11,3
-802,100,1833,-10,-24,3
-793,99,1825,-11,-32,4
-791,99,1829,-11,-34,5
-791,100,1834,-11,-32,6
-792,99,1836,-10,-25,3
-789,101,1834,-11,-13,4
-788,101,1834,-11,-2,3
-789,101,1834,-11,8,1
