ax,ay,az,gx,gy,gz
42,-2091,-164,-12,-8,-2
31,-2097,-177,-16,3,-10
26,-2108,-194,-17,-2,-11
31,-2108,-196,-6,-11,-4
36,-2099,-190,0,-12,-4
38,-2095,-183,-2,-7,-4
47,-2086,-173,-7,-8,0
48,-2091,-176,-15,-9,1
59,-2096,-187,-19,-6,1
69,-2096,-183,-16,-7,8
57,-2089,-184,-12,-7,16
45,-2096,-185,-14,-3,12
68,-2103,-184,-11,-2,12
58,-2091,-175,-4,2,15
49,-2085,-168,-3,5,13
38,-2074,-159,-9,1,15
22,-2068,-156,-17,-2,16
11,-2089,-173,-33,5,4
7,-2124,-208,-45,12,-9
9,-2144,-233,-41,13,-14
17,-2146,-235,-26,7,-15
25,-2144,-234,-10,-4,-7
35,-2134,-213,3,-19,11
40,-2111,-186,15,-23,20
39,-2070,-152,17,-21,16
43,-2056,-149,2,-7,8
46,-2067,-155,-19,1,-1
45,-2083,-167,-26,1,-8
41,-2082,-172,-25,0,-9
33,-2090,-179,-25,-4,-4
22,-2101,-186,-27,-9,0
27,-2112,-204,-34,-9,-1
36,-2139,-222,-40,-7,7
36,-2158,-245,-26,-10,12
36,-2140,-231,2,-12,13
42,-2115,-210,21,-13,19
35,-2098,-172,26,-18,23
19,-2083,-162,20,-18,18
19,-2073,-151,5,-18,9
27,-2071,-147,-8,-10,-3
25,-2081,-162,-25,-2,-19
35,-2103,-183,-34,-3,-28
40,-2104,-189,-25,-11,-23
31,-2091,-194,-18,-16,-18
47,-2106,-198,-21,-13,-8
53,-2123,-200,-22,-13,10
44,-2117,-200,-14,-15,12
39,-2104,-188,-8,-22,10
40,-2105,-197,-14,-19,15
56,-2130,-214,-14,-8,12
60,-2119,-202,7,-4,12
37,-2096,-177,18,-10,25
20,-2092,-168,8,-19,26
15,-2085,-165,-1,-18,15
24,-2103,-186,-12,-7,3
35,-2114,-198,-17,2,-9
38,-2106,-197,-6,-1,-17
36,-2083,-172,5,-13,-13
35,-2066,-156,0,-19,-1
36,-2067,-161,-15,-16,-1
43,-2087,-176,-27,-11,-5
44,-2095,-189,-33,-7,-7
42,-2114,-207,-30,-4,-6
44,-2127,-221,-19,-3,2
45,-2117,-201,-3,-13,14
43,-2094,-176,4,-18,17
37,-2088,-175,-5,-14,16
30,-2106,-181,-14,-9,12
28,-2102,-180,-13,-8,-3
30,-2101,-178,-13,-4,-11
34,-2112,-188,-19,-1,-13
37,-2109,-186,-15,-4,-13
25,-2106,-182,-11,-7,-14
29,-2116,-203,-18,-11,-11
47,-2126,-209,-16,-12,-4
43,-2114,-192,-5,-9,2
45,-2113,-203,-5,-5,0
56,-2123,-214,0,-8,4
58,-2106,-190,14,-11,13
43,-2079,-172,14,-10,15
27,-2074,-161,4,-11,14
23,-2080,-168,-8,-8,6
28,-2088,-174,-18,-8,-4
26,-2098,-188,-21,-4,-15
31,-2107,-197,-21,-4,-17
49,-2102,-192,-14,-5,-14
47,-2100,-187,-9,-6,-8
48,-2098,-188,-8,-11,-2
57,-2087,-177,-8,-11,3
54,-2086,-180,-12,-6,7
44,-2111,-192,-20,1,12
37,-2124,-208,-13,3,10
38,-2109,-188,1,-7,9
25,-2100,-181,0,-9,15
14,-2109,-175,-5,-10,14
20,-2097,-171,-4,-11,2
22,-2093,-171,-7,-11,-8
39,-2099,-183,-18,-4,-17
58,-2107,-194,-19,-2,-18
62,-2103,-195,-12,-4,-14
60,-2105,-195,-10,0,-2
57,-2107,-192,-5,-8,12
33,-2094,-180,4,-13,19
18,-2098,-187,1,-10,16
24,-2104,-189,-1,-12,10
23,-2091,-173,5,-12,7
20,-2078,-153,4,-14,4
17,-2084,-161,-12,-17,-1
