ax,ay,az,gx,gy,gz
1349,766,1765,387,-253,-1237
1376,779,1726,302,-284,-1403
1505,783,1659,242,-351,-1554
1666,754,1582,236,-370,-1648
1775,711,1552,262,-319,-1655
1817,666,1571,301,-261,-1590
1771,619,1653,339,-193,-1498
1694,565,1809,333,-111,-1406
1592,573,1961,252,-75,-1333
1507,664,2055,101,-96,-1310
1507,726,2115,-75,-134,-1373
1540,844,2207,-195,-173,-1509
1713,842,2184,-335,-254,-1671
1953,832,2184,-480,-279,-1819
2086,916,2124,-674,-319,-1951
2146,922,1983,-836,-362,-2087
2208,849,1822,-900,-451,-2218
2239,790,1641,-944,-537,-2293
2241,732,1429,-992,-600,-2258
2248,644,1179,-976,-642,-2111
2185,459,898,-808,-618,-1864
1990,361,922,-562,-442,-1533
1707,275,969,-387,-257,-1220
1519,204,1024,-195,-82,-1022
1387,204,1157,-40,-12,-863
1277,264,1306,-45,-30,-787
1278,329,1318,-202,-80,-823
1460,356,1266,-262,-118,-859
1624,423,1230,-239,-58,-757
1651,421,1163,-113,246,-658
1629,576,1407,83,734,-610
1645,710,1660,118,795,-435
1690,701,1756,75,538,-136
1651,626,1738,35,352,231
1503,553,1748,51,388,565
1226,545,1789,58,587,725
945,532,1812,19,690,697
677,477,1805,-82,632,409
578,382,1811,-213,395,-50
599,392,1807,-376,7,-430
594,418,1742,-664,-298,-767
720,353,1541,-901,-563,-1050
959,354,1382,-953,-776,-1189
1053,364,1352,-912,-846,-1175
1066,338,1375,-871,-890,-1101
1125,334,1374,-852,-952,-1016
1188,346,1355,-817,-936,-920
1233,384,1353,-771,-827,-796
1296,422,1359,-690,-670,-683
1361,429,1394,-533,-544,-518
1346,424,1439,-403,-410,-296
1322,422,1489,-295,-245,-151
1352,402,1538,-212,-117,-119
1369,374,1608,-186,-32,-132
1354,337,1638,-220,-34,-120
1381,315,1640,-278,-106,-84
1399,298,1645,-317,-157,-49
1349,280,1656,-331,-195,-31
1307,281,1673,-335,-268,-28
1276,336,1664,-369,-323,-32
1255,344,1651,-405,-298,18
1254,382,1625,-409,-246,144
1169,350,1611,-358,-117,300
1066,378,1714,-276,-17,361
1002,343,1730,-331,-36,327
1029,345,1713,-463,-118,286
1140,359,1605,-629,-194,298
1236,393,1487,-736,-194,360
1240,439,1399,-760,-157,449
1185,495,1357,-753,-140,535
1154,544,1302,-734,-159,588
1158,587,1293,-672,-174,615
1173,610,1327,-572,-155,654
1148,634,1425,-474,-85,721
1096,641,1535,-429,-26,765
1080,656,1617,-460,-34,747
1100,672,1656,-521,-59,674
1115,675,1694,-595,-38,560
1095,763,1671,-675,-8,454
1093,933,1592,-754,2,363
1158,1133,1544,-780,-2,256
1248,1287,1557,-724,-2,127
1362,1457,1529,-575,-15,16
1409,1537,1507,-392,-7,-64
1466,1592,1440,-238,-15,-255
1567,1466,1333,-43,-103,-373
1643,1185,1305,158,-117,-368
1577,885,1389,313,-28,-241
1388,691,1488,390,-10,-69
1152,569,1573,363,-78,6
1029,501,1654,238,-200,-51
1063,515,1675,72,-326,-133
1199,577,1649,-76,-399,-184
1370,683,1633,-177,-450,-182
1451,827,1622,-261,-466,-151
1497,975,1591,-321,-518,-125
1591,1095,1454,-256,-490,-146
1573,1231,1475,-4,-362,-127
1480,1239,1547,133,-280,-49
1414,1189,1511,132,-256,47
1334,1127,1463,211,-157,133
1183,1056,1499,291,-8,90
1028,978,1516,252,-2,-47
985,904,1439,119,-146,-223
1022,870,1308,6,-301,-395
1079,836,1197,-49,-395,-516
1120,824,1125,-63,-423,-567
1126,826,1089,-57,-414,-575
1121,848,1062,-31,-422,-574
1174,861,1047,32,-444,-568
1243,924,1012,124,-435,-523
