ax,ay,az,gx,gy,gz
997,-1066,-229,-1032,-366,-534
1094,-1123,-314,-1124,-112,-586
1181,-1196,-448,-1194,11,-543
1270,-1231,-554,-1221,-17,-428
1282,-1293,-576,-1246,-122,-247
1234,-1326,-513,-1292,-165,-83
1179,-1353,-527,-1400,-154,48
1110,-1404,-583,-1520,-239,185
1021,-1523,-683,-1618,-325,258
1018,-1573,-794,-1666,-255,210
1091,-1636,-956,-1704,-45,109
1131,-1706,-1029,-1685,74,95
1181,-1733,-1008,-1658,24,155
1254,-1823,-1004,-1679,8,224
1266,-1891,-1005,-1698,69,296
1254,-2001,-1065,-1734,98,395
1289,-2047,-1051,-1740,83,461
1330,-2082,-1183,-1801,164,532
1296,-2197,-1419,-1847,266,637
1332,-2247,-1597,-1819,283,696
1361,-2357,-1735,-1771,332,755
1283,-2503,-1749,-1662,342,841
1210,-2590,-1662,-1529,332,891
1188,-2646,-1633,-1448,424,885
1139,-2753,-1667,-1396,642,848
1023,-2817,-1714,-1338,856,784
983,-2919,-1874,-1319,1044,728
981,-3049,-2112,-1240,1145,742
910,-3120,-2245,-1068,1118,817
754,-3172,-2248,-887,1130,854
635,-3246,-2227,-722,1191,810
559,-3287,-2193,-555,1216,729
521,-3341,-2146,-396,1288,619
528,-3406,-2045,-205,1353,516
519,-3438,-1874,-7,1405,431
498,-3454,-1776,115,1542,334
451,-3480,-1782,197,1679,250
440,-3485,-1807,301,1748,176
416,-3453,-1840,419,1787,128
330,-3421,-1869,552,1772,92
288,-3366,-1884,710,1754,34
286,-3259,-1891,883,1701,-5
250,-3115,-1803,1082,1665,-35
275,-2976,-1687,1250,1715,-108
365,-2796,-1545,1376,1789,-179
382,-2653,-1435,1444,1896,-216
372,-2507,-1379,1487,1985,-229
404,-2326,-1203,1545,1971,-211
453,-2151,-994,1550,1911,-148
495,-2012,-902,1496,1851,-46
424,-1911,-942,1449,1754,106
359,-1795,-929,1475,1592,240
325,-1683,-801,1519,1503,284
279,-1598,-737,1517,1561,271
287,-1518,-670,1502,1660,216
277,-1449,-588,1483,1701,205
337,-1345,-472,1454,1662,230
374,-1242,-327,1392,1569,289
306,-1173,-278,1266,1539,400
261,-1130,-312,1141,1531,509
219,-1124,-342,1052,1432,591
235,-1087,-428,983,1355,635
381,-986,-419,966,1336,665
438,-904,-280,953,1397,748
302,-838,-200,871,1484,931
196,-759,-139,765,1379,1132
153,-668,-151,655,1127,1324
-77,-597,-220,560,966,1502
-329,-605,-218,492,1001,1550
-385,-592,-171,455,906,1524
-259,-545,-82,409,714,1501
-182,-520,24,315,860,1437
-340,-527,-11,168,1195,1431
-448,-561,-51,74,1176,1473
-424,-552,-54,21,928,1499
-445,-539,-15,-41,887,1510
-445,-553,-15,-130,906,1522
-421,-557,-31,-205,744,1614
-471,-562,1,-254,541,1765
-658,-570,83,-303,444,1881
-878,-618,152,-393,428,1883
-1001,-704,149,-516,565,1761
-1106,-799,62,-637,719,1623
-1255,-909,20,-718,795,1480
-1367,-973,50,-777,887,1291
-1394,-1039,79,-887,967,1098
-1372,-1101,23,-1033,886,987
-1369,-1177,-102,-1160,698,957
-1367,-1288,-228,-1227,535,962
-1402,-1392,-220,-1218,324,974
-1486,-1472,-108,-1204,179,932
-1602,-1551,-71,-1261,232,814
-1694,-1634,-160,-1354,319,667
-1677,-1711,-267,-1425,316,539
-1668,-1823,-356,-1483,224,507
-1739,-1985,-429,-1503,75,530
-1806,-2078,-468,-1494,-121,513
-1838,-2171,-518,-1492,-240,457
-1842,-2244,-529,-1475,-289,390
-1914,-2304,-536,-1463,-327,330
-1997,-2395,-596,-1467,-323,239
-1989,-2465,-652,-1453,-352,127
-1961,-2552,-708,-1421,-447,40
-1941,-2692,-765,-1376,-561,-28
-1881,-2752,-773,-1309,-732,-101
-1836,-2856,-786,-1251,-819,-180
-1853,-2941,-826,-1194,-882,-266
-1811,-2971,-899,-1111,-949,-363
-1797,-3003,-890,-1003,-1000,-421
-1802,-3044,-833,-927,-1167,-458
-1777,-3136,-908,-899,-1325,-520
-1654,-3254,-1056,-842,-1423,-642
-1508,-3374,-1182,-721,-1435,-814
-1385,-3465,-1249,-564,-1369,-995
-1208,-3523,-1269,-398,-1302,-1170
-937,-3548,-1313,-243,-1278,-1268
-715,-3554,-1332,-83,-1410,-1218
-632,-3552,-1345,83,-1579,-1104
-643,-3546,-1283,252,-1676,-1055
-544,-3495,-1303,371,-1657,-1088
-423,-3453,-1325,482,-1657,-1094
-391,-3422,-1335,593,-1664,-1067
-364,-3374,-1348,713,-1572,-1078
-380,-3301,-1363,843,-1472,-1094
-402,-3249,-1356,974,-1453,-1105
-320,-3145,-1346,1109,-1445,-1137
-288,-3000,-1290,1237,-1414,-1114
-371,-2816,-1187,1347,-1387,-1045
-447,-2640,-1059,1426,-1445,-994
-472,-2459,-922,1459,-1526,-972
-528,-2300,-833,1443,-1487,-979
-643,-2156,-775,1394,-1358,-1027
-653,-2070,-746,1318,-1238,-1156
-506,-1991,-806,1249,-1101,-1305
-372,-1930,-956,1231,-1032,-1353
-262,-1852,-1024,1299,-1061,-1322
-152,-1744,-920,1399,-1183,-1251
-90,-1633,-739,1436,-1324,-1142
-27,-1537,-549,1402,-1402,-1043
12,-1448,-437,1310,-1371,-958
-53,-1359,-349,1191,-1360,-861
-140,-1252,-261,1066,-1346,-815
-232,-1155,-172,918,-1322,-845
-276,-1071,-166,736,-1185,-965
-235,-1006,-331,563,-924,-1116
-179,-1016,-614,487,-713,-1200
-160,-999,-709,586,-789,-1181
-110,-886,-481,738,-1116,-1124
14,-790,-209,730,-1270,-1119
137,-744,-102,591,-1151,-1143
166,-729,-79,436,-1060,-1125
199,-694,-76,290,-1061,-1114
275,-649,-83,141,-1022,-1133
313,-671,-198,-5,-911,-1158
330,-717,-324,-77,-790,-1176
404,-707,-361,-72,-738,-1173
462,-691,-320,-57,-778,-1137
520,-691,-303,-91,-795,-1098
612,-677,-263,-139,-805,-1067
704,-625,-248,-207,-827,-1020
751,-623,-301,-296,-793,-935
748,-655,-272,-343,-765,-851
779,-618,-178,-392,-801,-796
816,-610,-68,-498,-752,-738
821,-667,-82,-626,-643,-697
837,-707,-125,-717,-601,-662
879,-753,-139,-786,-609,-621
891,-795,-152,-857,-615,-568
938,-859,-214,-930,-578,-535
997,-892,-221,-978,-550,-496
964,-967,-166,-1033,-601,-433
911,-1024,-204,-1119,-568,-416
894,-1051,-227,-1202,-514,-415
916,-1105,-237,-1319,-526,-418
1013,-1188,-365,-1466,-445,-434
1139,-1267,-530,-1563,-346,-431
1207,-1329,-739,-1617,-308,-378
1200,-1457,-878,-1619,-277,-293
1272,-1513,-890,-1586,-334,-238
1389,-1512,-895,-1617,-367,-187
1507,-1617,-954,-1688,-303,-97
1567,-1670,-954,-1715,-299,28
1554,-1683,-1032,-1778,-297,167
1475,-1806,-1141,-1838,-244,296
1432,-1873,-1179,-1819,-263,369
1479,-1877,-1238,-1827,-211,383
1547,-2061,-1481,-1858,-3,402
1547,-2125,-1552,-1741,69,469
1530,-2167,-1484,-1642,29,525
1524,-2313,-1456,-1632,108,524
1564,-2382,-1542,-1633,278,479
1593,-2517,-1661,-1609,444,475
1594,-2617,-1664,-1506,492,529
1560,-2714,-1654,-1419,575,558
1522,-2854,-1754,-1359,720,545
1531,-2965,-1871,-1271,784,535
1525,-3045,-1937,-1156,779,542
