ax,ay,az,gx,gy,gz
41,-2787,-986,-62,-21,606
-290,-2952,-1290,-263,103,442
-354,-3205,-1843,-324,217,313
-140,-3437,-2281,-162,200,311
157,-3563,-2483,163,215,270
532,-3491,-2236,600,234,185
702,-3387,-1819,975,211,220
719,-3314,-1452,1138,62,396
525,-3263,-1090,1171,-59,621
206,-3170,-737,1172,-13,651
-36,-3010,-440,1122,303,374
-265,-2986,-479,1016,677,-37
-231,-3073,-1012,883,937,-405
65,-3203,-1415,898,925,-441
278,-3211,-1481,1160,759,-218
439,-2958,-1097,1511,503,-19
459,-2647,-566,1732,408,-6
430,-2443,-182,1735,552,-113
325,-2437,110,1630,759,-242
262,-2532,389,1474,776,-331
192,-2659,649,1308,638,-277
63,-2697,1026,1135,447,-172
-5,-2584,1268,858,355,-212
14,-2430,1338,517,244,-341
9,-2357,1027,172,234,-471
88,-2448,207,-52,417,-589
231,-2591,-443,112,453,-600
449,-2621,-588,633,280,-487
571,-2523,-189,1325,159,-305
443,-2244,514,1937,32,-190
356,-1879,1221,2172,-59,-286
395,-1650,1636,1990,195,-564
450,-1528,1837,1612,467,-788
494,-1491,1931,1232,595,-928
576,-1374,2063,1169,637,-909
612,-1272,2137,903,657,-910
535,-1234,2045,515,543,-830
424,-1250,1874,179,401,-695
300,-1313,1550,-108,134,-532
228,-1443,1089,-296,-201,-360
358,-1571,702,-327,-463,-240
628,-1609,589,-182,-674,-121
754,-1562,747,42,-784,9
646,-1473,1032,160,-746,18
502,-1399,1259,87,-495,-139
482,-1287,1324,-113,-251,-332
551,-1170,1373,-341,-248,-382
505,-1141,1312,-606,-228,-301
356,-1161,1037,-892,-243,-260
242,-1203,556,-1105,-220,-288
271,-1266,32,-1176,-128,-300
380,-1359,-374,-1073,-77,-279
522,-1381,-576,-833,-235,-187
610,-1214,-477,-533,-553,-37
609,-939,-131,-317,-794,88
520,-687,217,-316,-817,121
277,-550,408,-523,-639,59
27,-516,241,-830,-334,-113
41,-579,-235,-1110,-164,-325
290,-721,-824,-1243,-240,-327
493,-940,-1378,-1184,-420,-82
715,-1014,-1715,-935,-670,208
744,-959,-1585,-585,-930,497
500,-792,-1134,-313,-897,625
256,-578,-740,-332,-578,441
199,-569,-636,-638,-11,61
281,-859,-955,-993,567,-304
438,-1177,-1393,-1140,605,-379
563,-1398,-1801,-1069,221,-109
571,-1546,-2024,-877,-240,362
407,-1616,-1936,-607,-564,824
81,-1622,-1682,-324,-605,1041
-176,-1578,-1398,-180,-458,920
-64,-1528,-1070,-259,-237,600
268,-1552,-793,-602,-3,278
404,-1848,-735,-964,83,136
435,-2076,-903,-1080,-132,197
465,-2140,-1074,-959,-493,379
379,-2198,-1352,-745,-715,530
339,-2283,-1713,-574,-713,574
474,-2398,-1854,-365,-550,505
478,-2477,-1649,-121,-362,342
471,-2529,-1344,41,-82,131
719,-2593,-995,41,-41,104
651,-2789,-753,-17,-247,319
347,-2907,-730,-81,-420,548
244,-2878,-785,-126,-520,579
213,-2927,-936,-152,-511,476
261,-2991,-1195,-135,-420,351
505,-3051,-1375,-81,-253,238
657,-3126,-1346,20,-54,199
724,-3151,-1283,149,141,156
791,-3086,-1038,300,176,97
725,-2999,-751,384,219,86
617,-2922,-444,374,184,82
513,-2853,-292,285,166,56
407,-2940,-345,170,186,49
383,-3002,-485,156,149,54
440,-3014,-712,222,140,59
506,-3094,-829,372,158,63
489,-3056,-678,576,270,-2
411,-2939,-471,694,424,-144
375,-2882,-329,712,496,-246
256,-2820,-209,709,505,-254
251,-2671,-11,718,380,-221
314,-2518,395,673,247,-182
331,-2355,720,487,272,-209
272,-2345,678,148,340,-316
319,-2579,-101,-271,582,-452
641,-2945,-1030,-384,772,-463
872,-3156,-1319,-6,613,-240
835,-3125,-1055,625,458,55
563,-2826,-423,1258,376,148
352,-2420,272,1586,301,13
199,-2210,775,1568,512,-159
141,-2079,1080,1329,664,-294
245,-1955,1336,998,543,-354
511,-1838,1586,587,419,-376
600,-1853,1622,146,403,-383
403,-1981,1111,-228,517,-473
369,-2261,57,-432,673,-581
590,-2585,-827,-191,646,-568
888,-2696,-1219,428,544,-452
857,-2621,-938,1304,454,-189
559,-2214,53,2090,126,62
437,-1710,1029,2327,-51,52
300,-1519,1603,2037,238,-86
177,-1498,1737,1492,443,-278
279,-1535,1586,960,541,-502
576,-1573,1491,595,539,-632
696,-1594,1433,322,355,-564
429,-1773,916,86,247,-443
263,-2034,87,15,241,-389
523,-2165,-366,237,75,-327
767,-2085,-319,645,-203,-147
734,-1848,165,1008,-410,36
471,-1584,740,1126,-379,36
381,-1350,1136,942,-128,-151
471,-1248,1388,599,208,-350
580,-1209,1454,190,371,-425
672,-1208,1375,-231,242,-355
561,-1285,1065,-572,6,-194
289,-1482,395,-772,-91,-89
374,-1604,-232,-769,-72,-107
657,-1650,-476,-513,-197,-92
738,-1587,-409,-154,-285,21
592,-1362,-47,134,-293,84
447,-1079,404,251,-275,5
459,-858,816,160,-207,-131
405,-806,1059,-130,6,-225
300,-799,980,-547,102,-270
285,-840,619,-916,-241,-181
207,-1004,-13,-1138,-724,95
207,-1168,-638,-1168,-1109,424
500,-1126,-915,-1015,-1320,632
630,-1024,-800,-761,-1323,691
322,-959,-509,-576,-1034,568
154,-778,-188,-542,-569,141
229,-629,-5,-712,109,-427
437,-627,-99,-1043,653,-747
661,-739,-359,-1331,528,-673
720,-863,-695,-1509,83,-302
665,-1040,-1144,-1571,-323,143
642,-1204,-1558,-1491,-551,452
715,-1223,-1621,-1262,-615,584
505,-1356,-1428,-981,-414,564
317,-1377,-1202,-822,-55,298
417,-1358,-918,-760,221,-50
612,-1389,-713,-804,261,-205
624,-1519,-687,-960,114,-86
478,-1663,-845,-1135,-111,181
358,-1786,-1103,-1239,-356,433
245,-1996,-1416,-1269,-523,614
285,-2122,-1580,-1249,-633,711
377,-2184,-1616,-1168,-575,698
291,-2378,-1732,-1032,-308,566
278,-2492,-1808,-844,-93,316
512,-2447,-1646,-594,-58,85
745,-2453,-1352,-440,-173,106
770,-2503,-1169,-416,-389,421
549,-2516,-1042,-496,-598,792
243,-2596,-1109,-586,-703,943
207,-2662,-1245,-539,-705,880
383,-2690,-1286,-439,-605,696
436,-2804,-1395,-375,-379,510
472,-2933,-1487,-285,-164,351
405,-3036,-1398,-87,-52,248
292,-2940,-1051,145,-31,199
240,-2758,-692,227,-43,145
193,-2703,-482,145,-102,86
225,-2651,-572,-9,-168,15
396,-2758,-895,-141,-227,-3
578,-2953,-1145,-181,-116,2
656,-3044,-1199,-54,62,-53
628,-3094,-1130,155,135,-108
572,-3053,-824,385,45,-155
657,-2873,-403,541,-50,-212
683,-2774,-92,519,18,-258
669,-2836,-94,329,125,-263
791,-2951,-241,151,125,-243
776,-3127,-347,74,80,-124
589,-3319,-600,29,93,27
351,-3463,-879,148,86,102
198,-3478,-969,470,145,33
279,-3342,-804,850,327,-173
423,-3131,-385,1211,454,-382
487,-2932,36,1404,488,-463
631,-2773,235,1361,447,-423
657,-2685,423,1249,359,-305
570,-2542,616,1108,444,-291
579,-2357,766,948,627,-427
517,-2239,842,823,692,-577
405,-2207,345,658,879,-717
589,-2377,-526,558,1113,-763
805,-2637,-1024,857,1098,-627
865,-2593,-774,1498,770,-403
757,-2296,-136,2101,539,-234
536,-1918,611,2350,691,-276
417,-1754,916,2113,1154,-510
433,-1791,946,1818,1352,-679
504,-1795,993,1678,1343,-766
620,-1653,1162,1599,1214,-751
670,-1471,1338,1432,908,-575
544,-1464,1294,1155,575,-361
378,-1590,881,904,375,-265
491,-1740,391,857,289,-259
704,-1853,179,1048,209,-233
792,-1857,247,1329,185,-148
737,-1693,545,1599,67,-50
610,-1447,1030,1726,-90,40
499,-1200,1426,1555,86,54
378,-1119,1577,1206,293,-3
276,-1132,1637,832,331,-106
349,-1101,1556,438,254,-193
532,-1073,1462,98,102,-168
620,-1033,1424,-183,-122,2
579,-1007,1331,-454,-320,134
522,-1007,1112,-679,-405,129
530,-1058,784,-809,-410,40
557,-1197,359,-834,-364,-27
636,-1254,152,-739,-422,14
646,-1246,213,-592,-590,161
538,-1134,382,-523,-834,362
406,-963,561,-599,-1058,522
215,-835,672,-820,-1063,547
69,-790,592,-1163,-860,409
62,-800,241,-1494,-544,171
146,-923,-254,-1690,-221,-84
355,-1010,-616,-1704,-18,-263
584,-991,-690,-1538,12,-307
649,-906,-558,-1315,-44,-249
570,-758,-361,-1169,-80,-178
489,-628,-268,-1196,-204,-103
373,-713,-477,-1370,-335,6
369,-812,-792,-1541,-446,113
401,-831,-1095,-1631,-556,188
424,-887,-1327,-1692,-467,177
767,-957,-1458,-1751,24,-10
958,-1227,-1661,-1760,600,-185
998,-1472,-1864,-1643,820,-152
1102,-1579,-1884,-1347,648,93
974,-1605,-1618,-1038,122,619
596,-1522,-1245,-909,-486,1186
185,-1540,-1089,-1014,-759,1452
-199,-1752,-1215,-1160,-706,1397
-465,-1940,-1409,-1137,-558,1117
-382,-2016,-1489,-983,-328,721
-112,-2115,-1456,-850,-42,364
30,-2247,-1513,-763,169,183
180,-2299,-1562,-619,106,160
374,-2266,-1377,-434,-191,253
327,-2194,-1125,-343,-443,402
159,-2204,-1027,-437,-522,462
110,-2301,-997,-552,-568,396
277,-2406,-912,-588,-633,274
584,-2563,-843,-605,-628,168
745,-2754,-1025,-600,-467,106
820,-2873,-1160,-478,-446,107
853,-2833,-1010,-235,-593,179
844,-2684,-699,-75,-680,243
700,-2582,-513,-133,-572,240
359,-2637,-585,-325,-340,129
171,-2836,-919,-535,-215,-27
199,-3085,-1163,-570,-415,-114
257,-3226,-1186,-430,-701,-167
681,-3012,-1023,-257,-706,-320
1383,-2846,-843,-165,-214,-559
1627,-3066,-964,-163,471,-599
1228,-3287,-1137,24,601,-329
646,-3265,-1043,450,42,79
595,-2970,-697,680,-537,384
653,-2906,-592,572,-679,559
407,-3039,-762,458,-551,567
143,-3091,-884,517,-245,317
80,-3117,-936,634,184,-52
195,-3180,-885,764,485,-299
367,-3324,-771,883,608,-354
478,-3416,-689,1000,614,-294
496,-3342,-586,1193,448,-216
560,-3091,-380,1410,296,-196
668,-2786,-157,1556,328,-283
719,-2537,-50,1614,471,-425
688,-2425,11,1637,591,-517
656,-2369,103,1660,609,-504
709,-2265,292,1694,469,-417
739,-2212,536,1700,293,-294
650,-2154,677,1656,188,-210
628,-2003,788,1588,152,-225
582,-1885,870,1501,184,-303
511,-1813,865,1365,266,-401
584,-1701,866,1215,369,-515
692,-1661,941,1084,565,-598
673,-1735,945,941,946,-628
586,-1779,923,886,1062,-607
611,-1704,1028,936,861,-560
654,-1622,1159,935,654,-474
713,-1545,1171,840,436,-367
703,-1451,1209,734,269,-271
556,-1432,1145,600,229,-254
477,-1437,964,460,184,-293
541,-1434,843,367,99,-302
563,-1441,780,287,46,-263
458,-1454,674,207,75,-218
383,-1442,600,181,9,-186
386,-1375,664,180,-92,-166
365,-1267,744,112,-108,-137
399,-1105,825,14,-141,-149
