ax,ay,az,gx,gy,gz
2590,-558,-184,-326,989,160
2516,-513,-68,-383,911,394
2375,-526,-14,-513,774,671
2245,-604,-37,-633,605,869
2045,-681,-95,-695,520,963
1835,-813,-191,-745,600,950
1714,-958,-330,-791,787,846
1807,-1025,-364,-775,970,715
1977,-1094,-371,-764,1084,662
2023,-1158,-415,-770,1045,786
2024,-1186,-412,-745,992,999
2002,-1209,-354,-722,1005,1171
1902,-1214,-278,-739,1118,1303
1677,-1246,-265,-758,1263,1387
1520,-1253,-194,-771,1351,1371
1403,-1295,-150,-807,1465,1305
1260,-1346,-170,-848,1530,1263
1118,-1432,-205,-857,1517,1251
1016,-1522,-283,-840,1337,1290
1014,-1559,-351,-789,1041,1352
999,-1593,-413,-754,848,1435
961,-1657,-490,-725,787,1509
928,-1692,-544,-661,839,1503
867,-1692,-543,-600,969,1402
765,-1708,-538,-588,1168,1261
622,-1768,-542,-590,1329,1173
467,-1825,-493,-551,1364,1167
270,-1895,-384,-506,1282,1218
21,-2019,-343,-516,1124,1264
-282,-2171,-394,-511,941,1260
-545,-2287,-470,-445,831,1143
-761,-2373,-565,-386,844,917
-962,-2481,-679,-332,899,630
-1123,-2596,-809,-259,944,323
-1165,-2623,-870,-140,848,70
-1116,-2585,-824,10,620,-80
-1095,-2551,-781,96,356,-136
-1158,-2551,-787,138,85,-120
-1282,-2498,-728,217,-179,-114
-1332,-2393,-563,303,-338,-262
-1222,-2275,-433,323,-274,-611
-946,-2127,-387,304,-174,-997
-677,-1971,-382,303,-272,-1235
-492,-1857,-444,307,-443,-1325
-325,-1763,-527,307,-585,-1359
-194,-1721,-576,335,-724,-1353
-77,-1672,-593,398,-875,-1307
139,-1586,-435,481,-938,-1277
355,-1494,-246,486,-927,-1304
564,-1428,-181,423,-910,-1370
753,-1395,-179,361,-836,-1426
879,-1370,-189,310,-798,-1457
952,-1352,-222,283,-873,-1420
989,-1303,-257,306,-1048,-1269
878,-1249,-231,350,-1355,-1014
721,-1160,-122,368,-1655,-801
833,-1099,23,291,-1669,-832
1203,-1040,128,98,-1470,-1004
1515,-1104,72,-136,-1174,-1159
1822,-1162,-41,-294,-928,-1266
2012,-1323,-203,-343,-836,-1269
2079,-1377,-347,-277,-1013,-1040
1935,-1363,-322,-161,-1281,-617
1570,-1469,-243,-108,-1538,-201
1206,-1605,-295,-115,-1792,59
1148,-1670,-229,-75,-1997,87
1391,-1672,-123,-93,-1802,-153
1588,-1727,-214,-209,-1446,-476
1646,-1821,-416,-263,-1258,-701
1694,-1845,-611,-198,-1208,-783
