ax,ay,az,gx,gy,gz
-561,-3183,-895,237,-535,-909
-253,-3179,-896,356,-571,-1070
97,-3176,-882,464,-718,-1142
419,-3112,-906,569,-783,-1168
784,-3041,-973,706,-748,-1156
1048,-3045,-1092,868,-652,-1140
1141,-3084,-1180,1118,-584,-1129
1218,-2877,-1049,1455,-595,-1134
1309,-2652,-755,1704,-658,-1090
1338,-2496,-519,1739,-570,-987
1274,-2391,-400,1673,-426,-880
1225,-2303,-317,1626,-368,-804
1201,-2168,-205,1599,-412,-735
1128,-2011,-123,1543,-453,-684
1046,-1897,-75,1471,-498,-663
1039,-1800,-46,1391,-513,-672
1113,-1711,-33,1273,-459,-665
1075,-1742,-184,1139,-398,-629
1081,-1747,-334,1108,-303,-636
1150,-1669,-421,1177,-248,-686
1250,-1576,-469,1272,-184,-720
1314,-1472,-423,1346,-37,-726
1268,-1350,-324,1367,95,-673
1244,-1248,-157,1311,205,-586
1212,-1227,-30,1185,402,-509
1131,-1178,74,1080,437,-431
1096,-1111,180,1021,319,-398
1161,-977,318,967,194,-415
1212,-865,363,855,101,-380
1145,-843,241,715,46,-284
1061,-842,56,627,8,-190
1032,-787,-62,609,73,-153
1066,-718,-33,609,211,-160
999,-701,9,560,320,-112
847,-653,90,507,391,-69
780,-589,250,435,434,-100
697,-602,310,278,397,-89
587,-630,358,126,305,-24
554,-678,450,-25,206,52
567,-737,486,-212,37,146
674,-805,448,-384,-102,182
724,-983,319,-509,-150,165
746,-1162,102,-560,-136,130
830,-1326,-84,-500,-87,80
910,-1395,-67,-374,-85,80
856,-1414,33,-273,-137,142
751,-1403,150,-253,-211,213
660,-1389,266,-331,-284,249
476,-1441,236,-521,-241,230
260,-1601,-65,-729,-112,106
228,-1793,-393,-800,-35,-60
259,-1913,-695,-716,23,-169
197,-1945,-900,-534,16,-198
29,-1904,-925,-282,-68,-201
-22,-1742,-731,-63,-241,-184
14,-1610,-459,0,-437,-119
-31,-1540,-196,-66,-604,-49
-173,-1539,-64,-212,-677,-51
-316,-1631,-112,-399,-710,-129
-342,-1777,-253,-514,-858,-228
-147,-1871,-362,-502,-1039,-342
171,-1855,-299,-426,-1146,-433
469,-1830,-213,-365,-1105,-523
631,-1879,-199,-336,-1043,-585
655,-1911,-248,-286,-1005,-609
674,-1905,-317,-213,-1031,-597
741,-1894,-224,-150,-1290,-456
701,-1935,-99,-163,-1529,-259
659,-1942,29,-207,-1678,-201
800,-1909,186,-274,-1676,-336
1070,-1874,253,-397,-1454,-588
1456,-1850,174,-557,-1129,-840
1864,-1887,-9,-705,-853,-954
2100,-1949,-230,-743,-830,-856
2211,-1929,-362,-635,-1039,-615
2271,-1969,-400,-511,-1230,-379
2436,-1923,-280,-415,-1310,-208
2482,-1881,-86,-365,-1290,-59
2312,-1954,-4,-398,-1199,62
2180,-2042,-34,-469,-1102,144
2042,-2054,-89,-493,-1098,221
1935,-1984,-136,-480,-1159,260
2075,-1933,-167,-496,-1043,182
2447,-1919,-233,-573,-645,49
2622,-2061,-496,-629,-235,12
2666,-2221,-773,-564,-104,99
2735,-2207,-779,-367,-171,272
2628,-2127,-618,-203,-251,500
2369,-2048,-516,-161,-170,653
2088,-2002,-476,-154,-25,680
1903,-1926,-445,-153,102,623
1803,-1825,-459,-206,257,536
1731,-1752,-498,-265,435,460
1713,-1710,-521,-309,580,418
1855,-1583,-524,-322,702,404
2044,-1469,-512,-322,843,425
2208,-1409,-478,-335,991,496
2264,-1389,-413,-324,1080,637
2196,-1347,-312,-307,1016,838
2039,-1271,-193,-326,880,1062
1815,-1227,-198,-428,819,1236
1547,-1263,-280,-577,917,1287
1442,-1281,-344,-713,1205,1156
1476,-1353,-522,-845,1571,952
1508,-1485,-755,-888,1823,847
1643,-1506,-820,-811,1923,867
1641,-1467,-740,-709,1819,1037
1411,-1428,-609,-656,1677,1247
1189,-1395,-451,-671,1683,1277
1015,-1447,-453,-797,1834,1166
803,-1582,-679,-960,2014,1062
577,-1702,-907,-1051,2040,1046
319,-1809,-1083,-1073,1922,1080
97,-1887,-1218,-1056,1826,1098
-50,-1989,-1326,-1013,1696,1108
-239,-2139,-1411,-925,1568,1110
-419,-2268,-1465,-814,1437,1078
-518,-2401,-1515,-724,1291,965
-817,-2561,-1624,-563,1179,935
-1138,-2521,-1519,-395,919,945
-1257,-2511,-1365,-313,712,800
-1267,-2508,-1245,-240,554,570
-1139,-2456,-1127,-176,386,320
-932,-2420,-1088,-184,324,102
-704,-2474,-1078,-190,214,-27
-491,-2546,-1024,-147,47,-100
-330,-2610,-977,-70,-56,-172
-262,-2649,-923,34,-209,-180
-319,-2632,-851,154,-400,-165
-319,-2584,-787,231,-487,-244
-204,-2594,-757,242,-424,-408
-47,-2666,-789,215,-233,-593
111,-2768,-890,209,-125,-738
331,-2891,-943,272,-173,-776
548,-2975,-926,370,-256,-686
666,-3003,-841,483,-436,-506
698,-2990,-731,599,-623,-357
661,-2943,-685,697,-697,-339
618,-2875,-706,783,-643,-460
614,-2808,-792,863,-492,-642
664,-2736,-871,947,-382,-792
759,-2703,-938,1019,-333,-837
800,-2670,-964,1102,-372,-751
655,-2624,-938,1240,-521,-608
461,-2473,-818,1412,-733,-502
431,-2193,-551,1535,-906,-471
539,-1967,-285,1507,-932,-500
681,-1827,-123,1378,-836,-601
929,-1692,31,1230,-749,-723
1258,-1604,140,1048,-625,-811
1478,-1587,158,830,-451,-834
1424,-1629,99,628,-303,-754
1145,-1690,-79,489,-184,-636
932,-1657,-264,463,-226,-604
886,-1581,-424,521,-317,-649
897,-1541,-598,595,-342,-697
1067,-1512,-728,694,-327,-747
1397,-1439,-747,825,-239,-785
1601,-1352,-669,979,-79,-748
1613,-1240,-552,1120,26,-648
1502,-1127,-415,1221,26,-531
1405,-971,-174,1256,-5,-402
1417,-830,59,1168,32,-308
1405,-810,206,1005,98,-241
1342,-811,250,838,127,-192
1239,-797,243,693,116,-159
1132,-806,183,551,84,-128
1069,-821,123,430,85,-106
1053,-795,75,340,108,-101
1043,-813,28,277,184,-129
1064,-888,-4,247,343,-199
1036,-1014,-31,239,380,-189
963,-1059,30,279,283,-98
917,-1033,195,316,112,10
845,-1005,360,263,-61,108
785,-959,479,146,-213,167
761,-961,529,-21,-312,160
849,-985,516,-214,-293,92
962,-1032,418,-431,-128,32
866,-1208,160,-598,31,6
717,-1344,-66,-613,34,-8
656,-1367,-164,-544,-76,19
591,-1388,-251,-496,-180,94
489,-1444,-392,-438,-242,171
344,-1409,-447,-328,-252,194
116,-1360,-462,-215,-243,166
-136,-1346,-456,-166,-156,57
-382,-1375,-476,-201,-55,-104
-445,-1441,-502,-254,-39,-289
-329,-1485,-458,-284,-192,-409
-171,-1518,-410,-305,-458,-421
43,-1505,-301,-326,-637,-457
398,-1475,-185,-343,-697,-563
844,-1484,-104,-379,-700,-645
1221,-1567,-45,-432,-717,-638
1286,-1705,-41,-494,-814,-485
1129,-1754,27,-539,-986,-302
834,-1790,56,-607,-1054,-240
631,-1822,5,-695,-1025,-328
882,-1760,-13,-766,-1006,-507
1524,-1688,-11,-885,-854,-642
2021,-1751,-124,-1116,-718,-551
2202,-1994,-374,-1273,-714,-306
2265,-2166,-511,-1209,-811,-65
2133,-2279,-591,-1051,-950,149
1868,-2346,-637,-889,-1056,294
1638,-2427,-729,-743,-1062,358
1574,-2462,-753,-593,-1105,401
1593,-2470,-726,-461,-1078,375
1738,-2450,-700,-347,-1007,244
2029,-2390,-627,-286,-826,79
2276,-2368,-582,-306,-513,-17
2276,-2428,-644,-343,-311,13
2011,-2529,-767,-331,-287,108
1811,-2504,-785,-239,-357,187
1705,-2417,-731,-127,-439,253
1544,-2390,-781,-70,-444,298
1456,-2327,-807,19,-419,275
1424,-2199,-719,132,-325,188
1531,-2070,-665,190,-121,41
1874,-1918,-572,245,37,-69
2192,-1758,-437,285,186,-53
2181,-1671,-396,281,294,86
2050,-1524,-302,262,354,242
1980,-1379,-212,191,433,344
1963,-1301,-180,75,471,439
2007,-1222,-158,-31,519,512
2030,-1192,-196,-139,609,575
1956,-1184,-250,-228,687,676
1906,-1142,-280,-269,737,767
1882,-1095,-271,-295,751,856
1843,-1071,-250,-344,835,937
1920,-1039,-208,-417,967,970
1932,-1109,-209,-534,1103,1009
1724,-1228,-343,-690,1154,1108
1561,-1334,-447,-777,1155,1168
1445,-1422,-502,-809,1228,1167
1389,-1489,-567,-837,1339,1131
1340,-1528,-602,-806,1386,1085
1349,-1490,-534,-776,1438,1052
1285,-1452,-471,-819,1539,1043
1143,-1542,-531,-923,1624,1024
1044,-1660,-672,-1025,1634,1003
875,-1806,-830,-1100,1635,1030
588,-1934,-1004,-1133,1621,1062
205,-2082,-1216,-1117,1614,1051
-96,-2213,-1385,-1024,1634,965
-225,-2232,-1414,-878,1620,827
-333,-2293,-1467,-753,1563,711
-504,-2398,-1573,-641,1436,664
-698,-2418,-1619,-533,1220,677
-927,-2480,-1653,-445,980,658
-1086,-2522,-1665,-352,744,559
-1031,-2465,-1534,-245,620,354
-795,-2405,-1361,-164,626,90
-453,-2355,-1216,-110,587,-107
-241,-2333,-1151,-32,508,-189
-117,-2234,-1000,80,279,-157
-30,-2106,-763,161,-30,-53
8,-2077,-590,144,-224,30
70,-2138,-599,72,-287,41
193,-2226,-619,49,-338,15
350,-2337,-625,36,-342,-18
353,-2498,-719,4,-261,-35
187,-2670,-872,25,-236,-64
103,-2818,-1016,102,-247,-165
125,-2908,-1130,196,-252,-294
151,-2997,-1228,315,-270,-392
217,-3105,-1341,463,-316,-448
299,-3169,-1432,640,-405,-463
486,-3168,-1429,827,-541,-458
686,-3181,-1382,989,-544,-472
733,-3204,-1368,1151,-398,-504
741,-3099,-1278,1385,-278,-559
772,-2903,-1076,1624,-222,-605
842,-2679,-826,1776,-271,-583
888,-2474,-570,1829,-389,-477
855,-2311,-345,1803,-497,-351
786,-2198,-194,1725,-570,-297
792,-2042,-54,1660,-676,-339
897,-1873,90,1556,-721,-433
962,-1743,138,1375,-705,-496
967,-1651,87,1175,-706,-524
1044,-1626,-108,1023,-584,-603
1152,-1698,-481,991,-392,-681
1332,-1726,-789,1149,-259,-696
1540,-1646,-792,1439,-201,-632
1589,-1533,-617,1715,-203,-466
1349,-1367,-317,1909,-239,-268
1052,-1097,33,1981,-244,-175
906,-890,326,1878,-163,-222
809,-791,494,1635,-63,-324
832,-716,521,1342,48,-472
1058,-669,459,1054,101,-607
1287,-726,367,805,108,-620
1331,-817,234,630,80,-510
1271,-901,77,548,-12,-353
1236,-890,64,569,-88,-234
1185,-843,138,587,-62,-160
1107,-798,224,568,3,-135
1060,-711,366,525,62,-140
992,-649,491,409,136,-136
944,-628,554,238,137,-130
926,-663,536,30,150,-138
911,-817,358,-180,126,-137
882,-971,193,-299,11,-74
802,-1060,129,-343,-43,-27
663,-1154,29,-357,-84,-23
576,-1196,-57,-322,-173,-33
513,-1204,-92,-272,-266,-39
457,-1221,-92,-272,-311,-40
387,-1226,-52,-300,-371,-50
287,-1235,-38,-364,-404,-42
57,-1242,-102,-461,-468,-9
-209,-1242,-141,-517,-601,-15
-438,-1245,-139,-576,-720,-68
-690,-1288,-211,-662,-858,-147
-715,-1318,-293,-735,-961,-338
-198,-1367,-327,-803,-901,-664
290,-1566,-500,-862,-831,-854
493,-1734,-694,-809,-969,-811
600,-1672,-617,-607,-1207,-717
552,-1543,-388,-480,-1404,-605
249,-1543,-326,-505,-1482,-504
164,-1506,-235,-534,-1581,-547
640,-1428,-46,-618,-1646,-727
1374,-1501,-12,-808,-1523,-897
2140,-1665,-141,-1015,-1299,-931
2513,-2007,-455,-1102,-1219,-740
2416,-2281,-754,-964,-1390,-391
2051,-2193,-733,-650,-1537,-76
1602,-2055,-609,-467,-1600,148
1177,-1988,-638,-445,-1639,260
886,-1843,-631,-419,-1777,262
1090,-1702,-495,-476,-1778,85
1921,-1750,-405,-725,-1468,-222
2668,-2148,-612,-1024,-1090,-332
2825,-2638,-1022,-1094,-995,-134
2678,-2750,-1144,-765,-1228,143
2479,-2601,-950,-338,-1381,295
2203,-2429,-713,-118,-1187,264
1845,-2353,-680,-35,-868,125
1778,-2317,-732,44,-679,-20
2323,-2205,-620,93,-543,-120
2870,-2294,-598,0,-357,-29
2759,-2394,-690,109,-4,113
2621,-2127,-456,322,300,-33
2690,-1912,-310,274,377,22
2568,-1813,-225,120,352,366
2315,-1723,-193,-3,371,564
2166,-1615,-236,-72,416,548
2132,-1515,-369,-118,499,485
2060,-1430,-543,-137,591,510
1887,-1354,-682,-125,702,572
1820,-1268,-697,-79,833,563
1937,-1136,-555,-18,1001,505
2093,-938,-318,-22,1235,489
2174,-773,-162,-133,1476,519
2229,-701,-112,-306,1599,585
2364,-641,-70,-513,1616,720
2463,-654,-23,-744,1594,945
2317,-783,-45,-973,1532,1266
1878,-914,-191,-1133,1436,1565
1397,-1118,-471,-1203,1406,1683
1182,-1219,-653,-1184,1408,1630
997,-1327,-842,-1199,1575,1512
801,-1528,-1085,-1241,1860,1335
757,-1653,-1193,-1193,2089,1124
754,-1754,-1168,-1123,2203,987
519,-1881,-1193,-1071,2072,1007
265,-1910,-1220,-1013,1731,1091
126,-1921,-1214,-998,1477,1137
-115,-2081,-1404,-1080,1433,1148
-469,-2255,-1755,-1105,1370,1107
-731,-2424,-1954,-959,1262,993
-892,-2507,-1946,-762,1118,865
-1076,-2474,-1858,-583,935,770
-1234,-2393,-1663,-410,760,616
-1122,-2317,-1477,-316,691,329
-877,-2191,-1372,-277,678,87
-468,-2112,-1285,-311,592,-66
-43,-2144,-1233,-321,508,-103
225,-2136,-1127,-264,300,-4
346,-2077,-987,-203,14,180
240,-2138,-921,-174,-163,334
58,-2259,-962,-151,-257,360
18,-2353,-960,-73,-337,254
51,-2459,-960,-5,-307,91
30,-2632,-1083,18,-189,-54
34,-2773,-1178,89,-166,-165
13,-2868,-1238,187,-166,-260
9,-2945,-1313,276,-133,-360
16,-3036,-1391,368,-142,-409
112,-3085,-1369,488,-266,-412
331,-3083,-1254,611,-426,-401
488,-3111,-1202,701,-521,-381
621,-3096,-1147,863,-606,-417
782,-3010,-1102,1053,-628,-524
905,-2912,-1087,1245,-601,-629
1082,-2761,-1048,1427,-529,-723
1290,-2580,-944,1563,-477,-744
1543,-2432,-781,1631,-399,-697
1687,-2409,-727,1649,-276,-600
1598,-2350,-693,1705,-224,-445
1473,-2212,-583,1813,-223,-334
1387,-2045,-411,1869,-234,-265
1235,-1920,-302,1841,-212,-202
1087,-1822,-217,1801,-157,-186
951,-1706,-143,1771,-161,-199
886,-1572,-58,1721,-214,-228
936,-1463,33,1625,-197,-276
875,-1425,-14,1493,-149,-286
820,-1387,-114,1412,-136,-312
823,-1321,-172,1411,-102,-390
878,-1267,-241,1424,-71,-450
923,-1262,-392,1444,-53,-435
1008,-1209,-407,1523,-67,-377
1017,-1095,-209,1621,-94,-311
963,-926,45,1646,-46,-294
943,-788,283,1555,24,-323
974,-733,423,1355,78,-348
1085,-708,484,1149,21,-344
1218,-722,531,948,-57,-287
1253,-779,504,756,-89,-192
1265,-785,528,629,-142,-102
1205,-738,571,505,-161,-30
1047,-803,445,353,-123,8
985,-897,252,269,-68,-8
1019,-933,194,281,-83,-14
1059,-859,345,288,-106,14
972,-778,482,198,-64,48
801,-803,503,30,7,52
731,-811,515,-115,18,31
689,-785,526,-253,-57,28
602,-833,459,-405,-129,24
542,-906,381,-524,-172,11
504,-933,375,-621,-212,15
388,-1020,297,-739,-232,19
237,-1165,69,-828,-330,33
124,-1329,-134,-825,-468,47
43,-1441,-225,-781,-648,72
-80,-1536,-270,-734,-772,66
-291,-1590,-279,-693,-802,-28
-381,-1561,-238,-660,-822,-220
-311,-1533,-294,-678,-856,-434
-10,-1545,-363,-744,-897,-611
489,-1586,-412,-810,-874,-741
930,-1668,-476,-840,-883,-757
1180,-1832,-532,-805,-930,-669
1252,-1881,-493,-699,-1065,-477
1152,-1821,-381,-607,-1251,-252
1009,-1821,-320,-587,-1369,-116
851,-1806,-295,-589,-1410,-93
844,-1748,-282,-581,-1414,-192
1331,-1737,-164,-658,-1291,-363
1871,-1849,-197,-854,-1011,-430
2078,-2204,-514,-990,-834,-348
2043,-2484,-784,-857,-880,-171
1949,-2447,-739,-566,-1108,37
1733,-2338,-577,-367,-1246,209
1469,-2291,-502,-308,-1262,274
1280,-2278,-515,-306,-1249,241
1318,-2308,-527,-343,-1141,125
1571,-2423,-570,-401,-906,-37
1772,-2548,-631,-398,-660,-160
1885,-2561,-630,-328,-560,-197
1922,-2481,-563,-244,-587,-145
1802,-2397,-526,-210,-651,-19
1648,-2343,-566,-202,-656,79
1537,-2321,-626,-148,-637,106
1619,-2218,-529,-41,-601,50
1902,-2067,-340,-3,-439,-50
1955,-2033,-351,-19,-132,-128
2092,-1953,-377,-32,158,-276
2385,-1882,-424,-70,219,-236
2426,-1861,-430,-89,210,-7
2376,-1835,-458,-83,304,128
2406,-1779,-443,-13,397,181
2441,-1690,-390,46,500,243
2415,-1552,-344,65,559,363
2419,-1400,-224,36,642,496
2361,-1307,-170,-60,793,600
2197,-1219,-136,-147,910,679
2040,-1132,-91,-225,1100,671
2004,-1040,-34,-323,1273,626
1930,-1009,-103,-461,1384,650
1853,-1008,-198,-602,1397,768
1808,-1073,-275,-770,1394,948
1717,-1267,-475,-921,1369,1115
1530,-1483,-734,-922,1329,1219
1492,-1466,-729,-787,1293,1222
1469,-1399,-620,-728,1381,1201
1205,-1422,-640,-786,1536,1208
996,-1448,-647,-812,1669,1139
912,-1469,-641,-838,1728,1034
892,-1522,-668,-889,1669,1007
735,-1623,-776,-949,1582,1065
597,-1699,-931,-989,1454,1115
535,-1829,-1060,-1017,1414,1116
417,-1941,-1164,-994,1373,1107
262,-2016,-1246,-906,1387,1040
212,-2034,-1249,-795,1458,919
210,-2009,-1176,-687,1437,861
61,-1986,-1071,-601,1368,863
-118,-1962,-1002,-555,1346,805
-289,-1898,-923,-545,1227,792
-398,-1948,-939,-637,1122,767
-511,-2112,-1132,-722,1044,731
-697,-2240,-1363,-687,891,688
-835,-2292,-1443,-557,728,588
-859,-2311,-1424,-421,592,452
-875,-2343,-1362,-305,458,350
-943,-2351,-1267,-203,276,276
-931,-2304,-1121,-95,84,174
-866,-2256,-1010,-38,-76,57
-762,-2268,-987,-37,-184,-61
-553,-2346,-1049,-52,-266,-179
-377,-2478,-1115,-17,-382,-239
-229,-2531,-1086,62,-473,-289
-174,-2598,-1115,138,-519,-369
-135,-2660,-1167,222,-610,-438
36,-2708,-1154,327,-679,-516
374,-2704,-1063,427,-723,-592
717,-2746,-973,497,-720,-602
870,-2872,-944,558,-704,-542
913,-2922,-912,663,-683,-483
953,-2910,-887,778,-691,-445
949,-2900,-937,878,-698,-417
886,-2855,-972,1006,-709,-404
825,-2805,-1008,1130,-677,-425
926,-2746,-981,1253,-621,-480
1042,-2619,-907,1376,-511,-519
1061,-2509,-851,1479,-424,-542
1151,-2394,-760,1580,-360,-564
1275,-2225,-610,1654,-304,-541
1260,-2128,-513,1675,-279,-457
1217,-2019,-404,1687,-342,-352
1187,-1882,-211,1698,-383,-278
1066,-1788,-83,1646,-343,-235
983,-1680,10,1571,-321,-239
928,-1587,69,1480,-340,-255
909,-1491,91,1374,-377,-279
957,-1424,79,1257,-365,-324
1034,-1381,39,1155,-277,-382
1143,-1381,-30,1102,-163,-459
1218,-1427,-144,1092,-34,-494
