ax,ay,az,gx,gy,gz
784,-2663,-1218,1294,228,-125
897,-2475,-1146,1559,143,6
776,-2289,-826,1749,-5,217
732,-2040,-459,1866,-84,198
757,-1876,-241,1798,-44,82
791,-1783,-68,1692,-59,-2
828,-1733,7,1524,-67,-85
922,-1738,-92,1321,-31,-165
1062,-1730,-210,1175,22,-208
1101,-1771,-433,1140,19,-142
1146,-1745,-572,1179,-51,-48
1310,-1589,-523,1231,-139,16
1298,-1473,-382,1304,-138,92
1131,-1321,-132,1365,-69,100
986,-1142,124,1325,57,-30
890,-922,357,1186,86,-156
831,-774,451,947,95,-226
798,-775,296,641,130,-269
766,-826,9,400,122,-284
697,-904,-290,286,109,-255
622,-961,-568,287,68,-203
686,-886,-594,375,-49,-106
746,-753,-440,452,-200,54
678,-636,-241,474,-345,196
691,-451,-16,428,-382,220
721,-307,155,263,-217,153
668,-299,174,25,-20,32
569,-377,75,-181,17,-52
513,-435,-30,-296,-81,-58
522,-471,-148,-370,-161,-45
566,-496,-200,-435,-136,-41
596,-498,-216,-493,-98,-9
709,-510,-201,-557,-141,87
736,-581,-120,-624,-227,238
722,-630,-28,-710,-211,286
729,-668,91,-785,-217,228
722,-674,219,-886,-231,172
681,-747,167,-1062,-228,136
690,-817,41,-1189,-317,142
753,-871,-40,-1274,-422,233
811,-913,-102,-1361,-461,327
820,-1001,-197,-1433,-423,355
857,-1144,-261,-1475,-387,355
824,-1313,-284,-1485,-337,351
601,-1544,-338,-1478,-338,356
476,-1678,-303,-1427,-526,360
640,-1769,-267,-1481,-582,301
906,-2058,-465,-1612,-448,29
1194,-2009,-769,-1745,-307,-489
1147,-2199,-1171,-1589,-131,-341
996,-2268,-1397,-1390,-362,77
637,-2359,-1424,-1322,-713,559
175,-2594,-1375,-1324,-971,1213
-6,-2731,-1246,-1408,-1143,1659
93,-2916,-1095,-1530,-1127,1756
216,-3118,-1106,-1623,-903,1661
376,-3286,-1120,-1609,-664,1403
610,-3344,-1153,-1479,-507,1026
758,-3357,-1191,-1270,-406,662
807,-3281,-1210,-980,-262,355
773,-3199,-1225,-753,-62,133
706,-3092,-1233,-588,-42,-9
811,-3012,-1219,-514,-96,-5
1008,-2991,-1247,-541,-75,114
1068,-3104,-1361,-558,2,237
1073,-3200,-1396,-474,15,317
1078,-3266,-1420,-338,45,369
1124,-3334,-1499,-233,95,420
1121,-3451,-1650,-127,128,488
1111,-3482,-1748,66,101,505
1071,-3416,-1782,312,124,430
1064,-3287,-1782,549,200,279
1079,-3180,-1789,739,359,128
1068,-3098,-1787,894,488,68
1063,-3057,-1784,1062,525,101
1009,-3030,-1715,1259,533,171
976,-2899,-1450,1457,527,227
979,-2738,-1138,1553,601,236
878,-2687,-962,1526,723,188
873,-2623,-886,1475,870,67
964,-2525,-863,1443,987,-39
1064,-2410,-789,1420,1082,-89
1130,-2267,-691,1374,1176,-109
1165,-2096,-515,1335,1152,-72
1062,-2000,-383,1291,1067,-25
804,-1997,-538,1196,1096,-79
581,-2118,-819,1099,1369,-94
533,-2162,-906,1212,1301,-15
390,-2060,-776,1453,1018,87
150,-1897,-515,1644,824,122
74,-1688,-264,1686,767,-9
111,-1519,-126,1581,880,-205
119,-1442,-85,1429,997,-335
116,-1388,-57,1278,1030,-374
120,-1381,-104,1092,1127,-392
101,-1402,-194,916,1140,-408
94,-1446,-286,857,1002,-379
152,-1427,-310,877,864,-359
135,-1352,-314,927,778,-368
57,-1308,-290,978,676,-412
82,-1179,-165,1024,590,-459
194,-1002,-17,988,457,-466
210,-945,48,888,354,-417
221,-896,112,795,316,-394
338,-762,222,674,402,-442
335,-692,247,539,476,-463
237,-659,264,434,444,-437
236,-588,259,324,474,-449
309,-490,293,225,476,-456
316,-421,332,117,442,-412
243,-386,365,11,362,-319
120,-396,350,-117,280,-223
37,-452,295,-256,134,-151
94,-455,282,-391,0,-91
104,-512,258,-523,-83,-10
-42,-622,222,-597,-150,16
-92,-691,176,-641,-179,-84
43,-763,112,-706,-163,-178
193,-833,102,-769,-230,-154
266,-877,170,-809,-402,-25
229,-865,275,-886,-576,97
68,-955,206,-1041,-627,97
-18,-1143,-9,-1210,-537,-35
38,-1312,-209,-1276,-454,-182
141,-1450,-355,-1241,-455,-232
85,-1619,-454,-1154,-532,-259
5,-1682,-373,-1026,-776,-296
-196,-1746,-299,-946,-1067,-353
-473,-1825,-327,-947,-1330,-521
-423,-1876,-426,-954,-1547,-876
-98,-1843,-490,-924,-1734,-1184
346,-1756,-496,-885,-1873,-1392
1045,-1547,-470,-861,-1884,-1425
1568,-1510,-577,-975,-1748,-1136
1491,-1855,-838,-1163,-1515,-679
1152,-2169,-1054,-1295,-1295,-335
1112,-2169,-1053,-1261,-1261,47
1239,-2176,-934,-1242,-1364,369
1263,-2221,-889,-1317,-1274,465
1196,-2341,-1064,-1394,-1046,424
1096,-2432,-1203,-1325,-996,328
1139,-2502,-1218,-1210,-914,156
1330,-2637,-1283,-1204,-603,-67
1611,-2795,-1383,-1214,-318,-170
1764,-3020,-1468,-1133,-190,-78
1850,-3193,-1477,-961,-331,148
1891,-3249,-1405,-732,-594,426
1707,-3275,-1312,-514,-798,685
1502,-3254,-1188,-366,-862,789
1384,-3209,-1064,-282,-734,682
1480,-3128,-974,-291,-451,439
1567,-3127,-967,-347,-128,224
1497,-3295,-1155,-406,249,60
1351,-3433,-1381,-296,426,-50
1278,-3362,-1348,-4,278,-95
1233,-3274,-1249,212,277,-77
1117,-3257,-1249,320,423,-39
928,-3232,-1237,452,427,-13
793,-3203,-1175,601,423,-54
786,-3134,-1140,722,481,-170
842,-3014,-1060,853,431,-246
866,-2914,-989,925,398,-258
814,-2848,-950,967,331,-224
703,-2766,-930,1019,238,-221
685,-2670,-996,1114,191,-292
764,-2599,-1049,1214,135,-309
779,-2547,-1021,1337,55,-274
745,-2442,-879,1461,-27,-234
728,-2334,-715,1572,-61,-274
705,-2162,-524,1645,-88,-351
677,-2036,-401,1599,-137,-344
702,-1927,-297,1542,-145,-389
814,-1770,-126,1455,-63,-511
742,-1725,-112,1282,93,-589
629,-1786,-309,1138,192,-696
776,-1811,-569,1091,261,-846
1016,-1799,-722,1140,211,-839
1127,-1740,-769,1255,65,-640
1071,-1710,-746,1366,-110,-382
1002,-1597,-611,1495,-275,-241
1016,-1373,-341,1565,-352,-250
1051,-1212,-88,1462,-291,-289
1075,-1198,16,1224,-66,-361
1085,-1211,0,1024,153,-452
1111,-1215,-48,871,173,-506
1137,-1241,-147,749,120,-484
1124,-1232,-254,664,93,-405
997,-1278,-482,628,111,-341
913,-1368,-748,665,121,-299
997,-1309,-790,803,15,-206
959,-1164,-580,965,-105,-49
780,-1030,-298,1017,-165,44
752,-862,-73,939,-72,3
719,-781,55,797,4,-65
649,-757,106,630,33,-116
695,-687,138,469,81,-182
850,-580,199,330,61,-208
914,-493,313,176,18,-142
910,-417,392,-6,-5,-63
839,-466,362,-199,-72,12
743,-538,229,-340,-163,62
687,-582,64,-377,-214,61
697,-661,-26,-357,-233,46
752,-643,0,-324,-286,48
786,-567,124,-318,-382,84
850,-514,276,-407,-386,125
992,-520,331,-610,-262,139
1036,-599,272,-821,-197,143
972,-713,136,-970,-167,112
1072,-751,-8,-1072,-134,30
1217,-797,-131,-1125,-134,49
1204,-864,-253,-1138,-152,162
1196,-912,-349,-1149,-103,238
1187,-1027,-419,-1139,-98,334
1111,-1157,-408,-1134,-150,489
950,-1276,-427,-1164,-182,608
826,-1362,-473,-1208,-242,665
749,-1435,-556,-1251,-260,670
708,-1493,-664,-1291,-210,613
623,-1509,-788,-1291,-130,507
630,-1585,-938,-1283,-14,364
823,-1676,-1022,-1261,100,265
985,-1750,-974,-1203,169,278
1002,-1983,-912,-1199,110,388
1072,-2071,-805,-1078,-106,548
1011,-2012,-532,-1018,-396,819
913,-2027,-460,-1165,-440,877
736,-2116,-608,-1294,-397,836
613,-2189,-800,-1317,-394,775
613,-2311,-958,-1340,-359,721
579,-2531,-1119,-1343,-283,685
377,-2842,-1297,-1227,-225,636
359,-2976,-1295,-1047,-197,463
558,-2905,-1034,-809,-137,346
651,-2897,-783,-664,-103,275
630,-2950,-656,-599,-88,214
723,-2905,-525,-561,-180,179
873,-2899,-483,-593,-298,182
1002,-2998,-593,-705,-341,198
1028,-3181,-762,-778,-344,215
1010,-3329,-948,-768,-380,227
1018,-3440,-1172,-691,-411,201
969,-3529,-1418,-547,-313,108
1042,-3507,-1484,-349,-118,-50
1166,-3454,-1459,-145,103,-211
1250,-3387,-1407,51,264,-330
1387,-3306,-1330,214,323,-367
1595,-3263,-1243,332,349,-331
1720,-3254,-1214,376,391,-257
1764,-3311,-1190,429,392,-155
1765,-3268,-1088,516,385,-77
1754,-3170,-1056,591,465,-109
1782,-3119,-1180,652,684,-275
1808,-3049,-1353,790,953,-467
1883,-2958,-1505,1028,1195,-583
1907,-2760,-1419,1321,1329,-592
1727,-2494,-1155,1547,1419,-494
1550,-2273,-872,1645,1452,-361
1377,-2150,-637,1628,1409,-231
1207,-2007,-509,1553,1331,-147
1073,-1842,-342,1493,1228,-95
926,-1663,-135,1391,1139,-43
735,-1600,-144,1209,1110,-36
594,-1679,-510,1037,1213,-100
602,-1814,-923,1008,1344,-145
677,-1850,-1040,1190,1326,-101
604,-1662,-770,1478,1170,-13
384,-1429,-398,1602,1039,47
224,-1325,-158,1494,982,20
191,-1246,-56,1324,967,-77
191,-1139,29,1136,981,-176
227,-1110,58,904,1037,-269
285,-1063,106,708,1000,-311
294,-914,259,566,825,-245
227,-812,346,379,607,-118
149,-828,240,160,384,11
53,-964,-107,19,281,72
55,-1113,-506,60,314,40
230,-1084,-565,278,281,-7
245,-941,-282,528,158,20
93,-775,1,613,43,33
135,-607,222,514,29,-46
218,-526,379,305,61,-100
154,-606,366,35,71,-97
115,-680,254,-184,12,-126
142,-731,168,-297,-129,-148
181,-739,102,-385,-250,-146
196,-765,2,-444,-314,-138
286,-794,-49,-477,-387,-127
416,-771,-30,-483,-463,-76
457,-771,-29,-509,-544,-8
574,-758,2,-554,-615,37
737,-682,88,-641,-582,90
749,-727,37,-826,-436,125
708,-843,-133,-982,-330,92
714,-873,-273,-1022,-335,103
631,-894,-364,-1026,-411,207
454,-1006,-466,-1038,-423,311
264,-1185,-550,-1021,-498,388
185,-1309,-550,-976,-598,435
138,-1415,-532,-963,-613,438
165,-1519,-524,-992,-632,383
379,-1569,-526,-1037,-647,313
555,-1630,-578,-1069,-636,255
646,-1722,-716,-1068,-595,168
811,-1769,-800,-1021,-513,112
821,-2019,-813,-1016,-630,216
672,-2197,-771,-887,-918,468
533,-2141,-532,-859,-1166,745
593,-2238,-536,-1045,-1053,637
771,-2420,-698,-1133,-838,427
1010,-2421,-673,-1097,-759,311
1178,-2429,-672,-1096,-675,233
1231,-2449,-756,-1077,-658,224
1325,-2463,-793,-1051,-690,269
1307,-2609,-857,-1046,-679,408
1179,-2895,-955,-1046,-707,496
1030,-3111,-942,-968,-829,577
823,-3186,-875,-872,-939,621
787,-3212,-871,-860,-842,490
1051,-3271,-985,-914,-509,190
1492,-3339,-1188,-934,-123,-91
1739,-3436,-1393,-782,87,-197
1814,-3500,-1432,-478,81,-130
1729,-3406,-1199,-135,-137,118
1392,-3371,-927,68,-321,393
1097,-3389,-771,122,-371,452
968,-3404,-650,139,-324,308
942,-3363,-603,157,-183,55
887,-3293,-664,151,5,-216
829,-3243,-781,152,192,-470
858,-3220,-1019,191,345,-660
992,-3213,-1299,340,382,-731
1215,-3155,-1407,605,307,-649
1237,-3091,-1333,929,207,-445
969,-2976,-1108,1223,67,-228
655,-2790,-750,1392,-23,-137
397,-2679,-564,1397,117,-278
246,-2576,-532,1363,131,-445
286,-2432,-487,1305,118,-543
335,-2347,-477,1186,174,-640
356,-2271,-488,1097,162,-736
447,-2209,-614,1029,162,-823
664,-2212,-860,1020,175,-891
847,-2244,-1051,1148,107,-843
958,-2264,-1162,1395,-33,-705
1061,-2136,-1032,1694,-235,-536
1026,-1860,-657,1938,-461,-380
906,-1642,-283,1948,-492,-332
857,-1505,-90,1753,-296,-453
952,-1490,-107,1465,38,-673
1064,-1554,-188,1246,261,-835
1182,-1541,-224,1120,251,-833
1192,-1537,-274,1000,139,-705
1071,-1553,-396,918,11,-547
1013,-1494,-472,883,-109,-462
981,-1491,-631,875,-115,-444
991,-1501,-756,918,-101,-433
971,-1429,-728,1039,-142,-364
892,-1311,-566,1135,-177,-278
858,-1170,-353,1128,-115,-258
833,-1071,-133,1041,-41,-270
877,-952,41,889,14,-296
928,-839,163,684,90,-325
864,-798,209,461,81,-332
932,-698,251,244,13,-324
996,-651,166,37,-65,-253
918,-733,-118,-124,-107,-157
953,-820,-449,-159,-116,-122
1121,-838,-598,-32,-122,-100
1219,-743,-513,168,-125,-28
1114,-562,-267,333,-80,33
933,-367,18,376,30,10
822,-237,231,294,131,-76
845,-169,383,114,178,-132
806,-216,425,-106,155,-83
761,-254,395,-319,130,-23
876,-281,325,-505,149,-9
1030,-376,223,-650,93,41
1062,-466,151,-712,-114,176
1122,-447,198,-737,-302,328
1221,-449,261,-809,-361,444
1195,-482,246,-913,-341,508
1101,-505,222,-993,-273,488
1033,-490,193,-1070,-223,412
933,-548,80,-1191,-137,373
816,-773,-101,-1320,-33,397
820,-963,-262,-1393,-27,458
786,-1109,-422,-1401,-154,550
822,-1174,-533,-1383,-250,638
914,-1156,-574,-1378,-238,705
681,-1266,-738,-1398,-192,728
566,-1386,-908,-1384,-148,620
713,-1544,-908,-1339,-137,549
728,-1698,-782,-1324,-252,673
540,-1999,-631,-1354,-562,853
350,-2202,-569,-1277,-936,905
77,-2295,-578,-1246,-1410,1016
21,-2438,-804,-1259,-1825,928
408,-2482,-969,-1161,-1931,756
1093,-2299,-861,-1087,-1634,672
1406,-2259,-1023,-1228,-1061,784
996,-2736,-1443,-1345,-402,863
