ax,ay,az,gx,gy,gz
-301,-1822,-1165,1206,-598,-1000
-258,-1737,-1176,1193,-618,-1037
-182,-1648,-1141,1168,-630,-1027
-153,-1600,-1114,1113,-629,-1009
-78,-1542,-1087,1059,-601,-1031
26,-1463,-1018,1032,-572,-1090
46,-1376,-950,1004,-527,-1126
10,-1333,-915,947,-506,-1103
3,-1292,-847,887,-556,-1070
26,-1236,-776,827,-585,-1063
20,-1227,-789,735,-561,-1050
4,-1264,-847,662,-629,-992
61,-1269,-892,629,-717,-927
142,-1268,-929,606,-721,-869
129,-1290,-939,603,-702,-825
139,-1281,-896,604,-672,-837
191,-1213,-796,613,-648,-863
195,-1141,-700,584,-622,-865
178,-1110,-629,503,-590,-860
167,-1097,-612,411,-579,-842
162,-1049,-592,326,-647,-775
182,-1014,-546,235,-738,-704
243,-1030,-562,116,-762,-679
383,-1055,-632,3,-713,-692
478,-1075,-669,-71,-686,-681
480,-1094,-675,-134,-677,-647
483,-1096,-682,-213,-649,-620
551,-1139,-727,-309,-654,-572
607,-1218,-731,-393,-651,-502
566,-1253,-714,-447,-617,-410
473,-1268,-671,-468,-615,-338
375,-1270,-660,-512,-597,-358
405,-1220,-632,-559,-565,-458
496,-1216,-612,-644,-490,-579
557,-1253,-660,-754,-418,-656
601,-1311,-747,-833,-372,-683
677,-1378,-820,-860,-408,-689
707,-1387,-845,-852,-456,-672
712,-1382,-874,-854,-488,-636
691,-1400,-940,-868,-589,-559
684,-1414,-993,-882,-711,-471
805,-1362,-982,-911,-739,-436
920,-1356,-973,-978,-634,-474
931,-1464,-1057,-1046,-476,-570
974,-1527,-1106,-1033,-393,-664
1091,-1492,-1071,-984,-413,-673
1210,-1454,-1031,-990,-452,-577
1275,-1513,-1096,-1061,-453,-455
1340,-1621,-1252,-1114,-451,-378
1365,-1690,-1363,-1102,-425,-341
1338,-1682,-1398,-1070,-319,-347
1281,-1670,-1362,-1054,-145,-397
1272,-1667,-1324,-1044,23,-478
1310,-1641,-1254,-1026,137,-534
1342,-1639,-1217,-1040,245,-513
1340,-1685,-1254,-1091,274,-404
1316,-1725,-1302,-1120,233,-261
1312,-1758,-1341,-1153,207,-146
1274,-1824,-1406,-1168,245,-122
1187,-1890,-1483,-1147,342,-192
1199,-1948,-1540,-1103,454,-291
1300,-2041,-1646,-1055,541,-328
1350,-2130,-1693,-975,572,-272
1352,-2160,-1621,-851,607,-209
1346,-2127,-1491,-737,625,-182
1309,-2084,-1394,-686,647,-162
1290,-2030,-1341,-691,705,-152
1318,-2029,-1346,-723,810,-175
1363,-2072,-1416,-726,903,-222
1464,-2061,-1450,-662,965,-266
1559,-2039,-1473,-582,1026,-252
1566,-2118,-1558,-513,1094,-172
1550,-2153,-1603,-395,1074,-44
1565,-2113,-1582,-254,1002,97
1495,-2079,-1551,-161,972,236
1386,-2064,-1530,-98,1022,301
