ax,ay,az,gx,gy,gz
134,-1173,56,159,224,14
147,-1101,141,149,17,104
131,-1059,223,82,-122,172
153,-1075,237,-36,-214,185
198,-1085,166,-124,-223,170
204,-1091,153,-145,-177,175
202,-1081,192,-159,-141,193
207,-1100,224,-182,-88,198
160,-1146,225,-193,27,191
111,-1154,183,-190,77,176
93,-1154,206,-177,17,172
47,-1130,282,-202,-48,183
23,-1122,315,-291,-51,183
61,-1147,281,-383,-18,180
131,-1198,132,-458,-71,214
114,-1279,-33,-469,-80,278
37,-1328,-124,-413,75,290
-32,-1352,-11,-354,197,267
-14,-1336,79,-346,143,262
85,-1331,102,-354,-19,299
150,-1381,133,-375,-65,351
149,-1437,139,-435,-80,407
92,-1489,80,-484,-41,459
31,-1492,69,-484,12,500
-27,-1472,97,-507,-50,547
-65,-1635,-1,-553,-139,625
-122,-1801,-173,-507,-167,694
-151,-1742,-253,-371,-434,771
-155,-1754,-213,-290,-585,802
-254,-1785,-227,-311,-204,700
-287,-1738,-189,-347,265,553
-243,-1809,-114,-389,503,467
-182,-1980,-167,-441,497,475
-179,-2089,-199,-421,298,621
-325,-2119,-118,-345,23,825
-524,-2062,13,-319,-123,902
-663,-2060,47,-420,-45,805
-709,-2124,-60,-469,142,688
-787,-2270,-274,-490,211,604
-741,-2395,-490,-423,334,460
-549,-2473,-417,-272,369,302
-388,-2493,-215,-220,313,214
-238,-2521,-203,-278,362,196
-186,-2547,-288,-312,413,275
-220,-2552,-372,-290,343,403
-237,-2547,-421,-256,233,523
-269,-2579,-474,-193,243,613
-314,-2604,-515,-85,264,692
-414,-2559,-469,17,160,750
-548,-2501,-316,71,129,709
-674,-2502,-95,29,348,522
-632,-2561,-97,-60,576,288
-496,-2574,-98,-113,606,121
-367,-2550,-131,-175,641,43
-306,-2572,-278,-201,701,76
-400,-2585,-366,-137,627,146
-446,-2561,-410,-51,293,231
-449,-2587,-413,25,-20,310
-462,-2594,-420,111,-21,310
-437,-2499,-360,195,12,267
-370,-2464,-307,221,-79,277
-348,-2391,-171,230,-179,288
-396,-2299,10,186,-76,226
-387,-2216,97,74,186,134
-310,-2119,113,-22,255,132
-333,-2093,50,-84,112,227
-397,-2109,-64,-117,-80,341
-469,-2088,-138,-129,-119,413
-531,-2069,-146,-152,-16,424
-606,-2101,-103,-194,177,377
-554,-2111,-123,-280,382,311
-496,-2183,-185,-366,539,295
-460,-2255,-270,-412,643,305
-448,-2275,-328,-445,664,346
-439,-2259,-377,-506,654,386
-464,-2286,-429,-580,515,461
-538,-2370,-517,-656,339,548
-616,-2495,-610,-663,234,560
-700,-2454,-509,-599,184,488
-770,-2424,-348,-574,219,407
-767,-2519,-356,-622,155,389
-663,-2644,-443,-642,19,377
-536,-2690,-481,-626,-132,365
-473,-2747,-570,-625,-150,381
-475,-2814,-623,-558,67,362
-480,-2812,-553,-446,195,334
-554,-2863,-515,-396,205,341
-652,-2934,-537,-346,211,318
-671,-2944,-502,-261,71,282
-668,-2954,-493,-197,-129,277
-680,-2962,-464,-133,-223,251
-727,-2956,-465,-77,-260,178
-724,-2923,-440,-30,-280,69
-663,-2874,-372,28,-274,-43
-589,-2813,-269,39,-318,-132
-542,-2796,-296,-12,-271,-217
-507,-2811,-358,-27,-146,-303
-472,-2800,-374,3,-144,-351
-433,-2779,-371,22,-158,-369
-383,-2779,-376,32,-110,-370
-417,-2829,-367,38,-66,-345
-436,-2851,-366,44,-30,-310
-413,-2847,-347,86,-2,-258
-480,-2963,-375,77,-18,-200
-566,-3034,-514,89,-100,-137
-655,-3030,-588,229,-178,-88
-649,-2947,-487,405,-374,-66
-551,-2865,-327,491,-608,-29
-497,-2837,-272,464,-689,42
-538,-2787,-305,419,-608,129
-625,-2743,-365,406,-507,189
-700,-2722,-374,405,-529,203
-776,-2676,-375,421,-399,132
-845,-2590,-350,451,-207,13
