ax,ay,az,gx,gy,gz
117,-549,158,64,-363,113
87,-642,59,-91,-333,127
68,-747,-33,-193,-312,161
26,-909,-209,-246,-269,195
16,-1062,-373,-207,-252,223
73,-1091,-410,-80,-318,252
161,-997,-305,58,-393,313
244,-853,-112,99,-406,412
250,-757,43,9,-354,529
153,-772,112,-173,-275,624
33,-847,95,-368,-223,654
-53,-918,33,-525,-238,623
-126,-997,-55,-640,-252,568
-111,-1084,-159,-716,-237,524
-29,-1159,-260,-752,-184,476
55,-1213,-345,-745,-122,437
92,-1230,-347,-712,-65,429
67,-1247,-312,-716,-3,460
98,-1252,-266,-741,47,507
136,-1258,-261,-794,101,560
74,-1343,-305,-893,146,650
-88,-1474,-374,-977,149,742
-291,-1603,-499,-1019,122,794
-384,-1648,-610,-1023,76,787
-336,-1643,-659,-1006,39,738
-183,-1621,-643,-1009,52,673
-169,-1680,-558,-1098,248,552
-197,-1878,-585,-1271,533,364
-226,-2117,-808,-1417,632,250
-267,-2320,-930,-1437,526,308
-252,-2414,-968,-1386,385,422
-215,-2398,-997,-1320,259,526
-268,-2384,-963,-1268,144,606
-311,-2354,-855,-1246,99,623
-327,-2282,-745,-1251,58,588
-431,-2345,-657,-1328,27,541
-586,-2593,-790,-1508,60,446
-641,-3001,-1118,-1665,116,311
-524,-3468,-1506,-1689,159,193
-239,-3754,-1850,-1545,150,133
25,-3885,-1986,-1249,124,190
76,-3934,-1881,-943,157,323
21,-3858,-1674,-694,181,427
-79,-3710,-1384,-473,140,467
-206,-3591,-1172,-350,129,416
-271,-3559,-1168,-313,140,340
-239,-3565,-1187,-277,119,316
-218,-3560,-1160,-228,103,339
-268,-3565,-1189,-172,79,359
-312,-3576,-1243,-73,58,342
-298,-3506,-1203,63,81,262
-249,-3413,-1126,184,151,137
-236,-3377,-1085,281,203,7
-248,-3396,-1114,390,225,-105
-211,-3349,-1124,524,185,-183
-201,-3274,-1065,622,170,-247
-314,-3298,-1067,635,249,-333
-429,-3360,-1167,632,314,-447
-536,-3398,-1256,691,297,-552
-589,-3343,-1281,790,266,-652
-562,-3199,-1222,888,234,-762
-489,-3078,-1175,936,243,-873
-389,-2993,-1175,936,289,-919
-323,-2898,-1147,942,272,-857
-269,-2772,-1138,949,224,-743
-200,-2658,-1161,930,200,-635
-204,-2533,-1109,885,184,-528
-320,-2451,-1112,841,178,-462
-366,-2362,-1113,866,150,-492
-324,-2207,-1057,951,120,-589
-277,-2029,-991,1041,95,-685
-196,-1847,-893,1104,90,-751
-135,-1729,-820,1109,136,-797
-96,-1670,-810,1096,170,-821
-76,-1633,-829,1115,170,-805
-2,-1550,-799,1163,141,-734
85,-1409,-681,1218,98,-617
90,-1313,-578,1233,140,-510
24,-1259,-486,1243,175,-442
-21,-1146,-352,1298,154,-428
-73,-1005,-164,1343,108,-457
-2,-822,-18,1290,38,-527
51,-721,78,1119,51,-587
60,-716,104,875,89,-621
86,-748,33,626,121,-641
87,-847,-113,449,131,-623
101,-939,-271,365,94,-557
150,-996,-395,378,10,-434
212,-976,-404,451,-109,-269
227,-934,-355,538,-203,-122
217,-852,-236,647,-306,-10
192,-685,-21,736,-411,75
154,-508,188,709,-464,142
135,-410,338,562,-508,211
132,-389,433,356,-526,276
116,-450,396,114,-479,288
136,-583,226,-116,-408,226
168,-768,14,-236,-302,114
184,-889,-136,-243,-215,25
187,-927,-213,-206,-159,-7
147,-953,-247,-164,-116,1
94,-990,-296,-124,-91,29
139,-949,-249,-76,-94,74
156,-855,-108,-70,-131,150
129,-801,-17,-145,-130,203
159,-798,25,-272,-89,222
207,-856,26,-425,-71,252
188,-1020,-100,-573,-21,285
218,-1192,-275,-652,12,334
299,-1284,-372,-616,-50,428
304,-1324,-428,-516,-120,567
237,-1351,-465,-398,-155,708
131,-1334,-422,-272,-221,844
-39,-1325,-373,-193,-266,929
-206,-1374,-395,-187,-232,907
-363,-1408,-358,-226,-179,802
-448,-1437,-304,-338,-48,586
-427,-1503,-312,-562,211,273
-387,-1648,-419,-812,462,-60
-273,-1737,-534,-963,563,-329
-134,-1737,-567,-997,533,-457
-21,-1743,-576,-987,493,-463
141,-1751,-598,-949,416,-351
308,-1773,-598,-857,246,-67
409,-1775,-502,-763,-9,375
388,-1762,-404,-747,-297,835
288,-1756,-366,-841,-452,1153
147,-1788,-348,-1023,-390,1242
-112,-1928,-419,-1270,-158,1098
-447,-2214,-675,-1483,108,767
-519,-2468,-932,-1558,245,424
-425,-2567,-1056,-1520,207,251
-383,-2583,-1106,-1456,113,247
-283,-2531,-1039,-1410,57,306
-177,-2501,-947,-1389,34,369
-84,-2475,-943,-1377,-10,442
36,-2453,-926,-1372,-48,526
30,-2536,-980,-1424,-40,592
-101,-2719,-1116,-1491,-23,586
-284,-2969,-1301,-1505,24,481
-307,-3178,-1499,-1424,57,327
-197,-3271,-1564,-1247,57,224
-119,-3363,-1526,-1077,123,209
-136,-3464,-1555,-950,175,279
-192,-3495,-1547,-789,113,407
-241,-3434,-1465,-626,41,526
-315,-3386,-1386,-529,15,589
-393,-3359,-1334,-465,-1,558
-418,-3334,-1299,-393,22,412
-363,-3349,-1318,-313,87,197
-245,-3375,-1357,-206,140,6
-159,-3410,-1394,-67,175,-114
-101,-3408,-1412,93,190,-160
-82,-3367,-1365,272,174,-160
-90,-3324,-1279,425,182,-174
-120,-3295,-1254,530,199,-189
-183,-3270,-1242,619,180,-173
-253,-3202,-1207,695,148,-169
-291,-3137,-1191,725,161,-205
-333,-3099,-1206,742,177,-277
-325,-3015,-1189,782,184,-387
-275,-2933,-1182,812,217,-496
-209,-2886,-1209,848,237,-543
-159,-2802,-1182,914,191,-520
-189,-2704,-1135,970,139,-471
-292,-2656,-1138,998,110,-429
-377,-2590,-1118,1020,33,-400
-365,-2469,-1054,1016,-51,-386
-264,-2367,-961,939,-70,-383
-175,-2305,-957,798,-53,-352
-184,-2316,-1036,684,-88,-258
-194,-2353,-1190,662,-124,-195
-129,-2267,-1227,747,-143,-196
-127,-2129,-1080,845,-130,-234
-157,-2010,-1031,895,-95,-328
-115,-1922,-1006,959,-105,-398
-100,-1821,-920,1037,-144,-377
-139,-1727,-883,1076,-161,-338
-105,-1636,-836,1094,-145,-323
-56,-1530,-752,1117,-127,-311
-23,-1391,-656,1152,-129,-312
-10,-1242,-461,1185,-123,-343
-1,-1118,-306,1162,-78,-432
36,-1055,-266,1101,-13,-547
104,-1001,-228,1044,13,-609
146,-959,-180,980,22,-619
110,-953,-162,918,12,-603
38,-960,-190,876,-32,-576
20,-971,-226,858,-105,-508
0,-966,-221,869,-205,-377
-61,-910,-174,876,-323,-248
-122,-865,-133,853,-401,-178
-97,-793,-65,808,-439,-168
-52,-726,0,710,-407,-214
-10,-727,-19,557,-296,-302
47,-777,-48,395,-178,-375
133,-804,-83,267,-89,-415
194,-813,-106,177,-37,-419
203,-842,-121,120,-37,-381
195,-880,-156,102,-38,-322
221,-860,-161,109,-51,-241
203,-792,-102,104,-144,-94
94,-762,-31,35,-249,74
-1,-811,-48,-82,-319,188
-22,-904,-114,-176,-410,248
-43,-1008,-186,-219,-521,279
42,-1023,-218,-223,-625,294
299,-959,-185,-251,-616,297
508,-980,-178,-356,-420,281
460,-1068,-231,-474,-147,240
299,-1166,-279,-547,65,163
206,-1256,-324,-577,173,91
218,-1293,-332,-579,193,103
206,-1312,-289,-587,120,222
134,-1363,-283,-642,21,392
42,-1475,-372,-712,-101,570
-9,-1581,-465,-731,-239,712
55,-1527,-470,-703,-284,741
167,-1406,-422,-742,-76,649
31,-1519,-450,-941,341,465
-152,-1719,-585,-1128,695,194
-83,-1813,-677,-1113,841,-33
91,-1834,-663,-1002,780,-21
289,-1759,-598,-879,578,259
392,-1701,-534,-761,306,685
295,-1602,-445,-653,44,1093
46,-1512,-336,-632,-108,1342
-260,-1548,-297,-742,-101,1378
-501,-1676,-373,-916,-36,1221
-650,-1857,-508,-1059,60,909
-642,-2021,-660,-1186,214,518
-568,-2185,-827,-1299,354,162
-482,-2314,-956,-1377,418,-74
-394,-2387,-1050,-1390,398,-196
-203,-2405,-1076,-1346,382,-244
-35,-2455,-1022,-1274,365,-211
21,-2573,-1066,-1202,307,-114
8,-2739,-1160,-1113,153,53
-77,-2874,-1276,-1029,-31,267
-195,-2944,-1333,-990,-142,448
-313,-2984,-1313,-966,-157,494
-354,-2950,-1254,-913,-97,350
-283,-2836,-1203,-852,-18,130
-172,-2702,-1157,-802,0,11
-65,-2537,-1094,-755,-21,19
-4,-2333,-1012,-703,-73,75
27,-2199,-964,-632,-118,135
40,-2192,-992,-524,-154,201
94,-2211,-973,-393,-222,295
145,-2213,-865,-358,-250,407
84,-2361,-871,-480,-144,444
-132,-2751,-1142,-692,30,358
-358,-3176,-1502,-793,109,211
-404,-3410,-1764,-694,103,63
-334,-3511,-1917,-470,101,-54
-216,-3529,-1916,-159,133,-104
-131,-3407,-1766,163,85,-67
-108,-3169,-1479,412,0,6
-133,-3000,-1244,507,-2,24
-119,-2983,-1195,498,34,-2
-111,-3050,-1247,498,31,-13
-127,-3099,-1320,522,-4,-4
-134,-3116,-1384,563,-31,-7
-167,-3119,-1411,617,-11,-59
-193,-3129,-1428,693,46,-167
-112,-3069,-1402,794,83,-294
-30,-3020,-1372,883,104,-362
-14,-2989,-1396,960,95,-334
-19,-2927,-1410,1067,27,-243
-17,-2834,-1385,1180,-28,-145
-59,-2709,-1273,1273,-37,-90
-165,-2559,-1121,1336,-13,-119
-255,-2435,-1016,1333,30,-224
-299,-2399,-1032,1260,66,-314
-295,-2376,-1076,1212,42,-338
-281,-2332,-1063,1208,8,-337
-229,-2239,-1056,1235,-6,-351
-189,-2146,-1007,1275,-25,-350
-252,-2068,-956,1312,-45,-347
-361,-2009,-962,1341,-66,-362
-392,-1945,-984,1381,-107,-379
-348,-1867,-953,1426,-147,-379
-287,-1756,-855,1461,-161,-388
-193,-1638,-772,1474,-107,-423
-114,-1553,-656,1482,-32,-460
-95,-1479,-531,1503,24,-490
-128,-1394,-429,1522,29,-500
-185,-1313,-324,1517,-30,-471
-274,-1245,-267,1470,-131,-409
-302,-1187,-220,1380,-238,-327
-282,-1134,-177,1280,-343,-256
-264,-1075,-146,1197,-436,-227
-205,-1006,-106,1124,-491,-247
-90,-919,-39,1046,-487,-300
22,-832,24,950,-394,-370
66,-836,37,862,-264,-407
70,-788,77,872,-179,-318
154,-695,128,767,-145,-300
216,-672,179,601,-56,-369
190,-673,202,430,-6,-414
139,-670,202,301,5,-418
110,-672,195,195,-9,-391
85,-661,200,92,-58,-345
108,-665,179,-16,-104,-311
138,-693,126,-107,-91,-290
181,-733,80,-147,-87,-272
239,-723,93,-159,-111,-253
324,-708,116,-184,-104,-239
362,-725,128,-224,-62,-240
445,-719,128,-252,-80,-219
424,-698,130,-302,-110,-108
308,-746,95,-399,-185,102
191,-850,30,-524,-290,343
126,-965,-38,-630,-387,545
73,-1092,-127,-685,-486,671
-22,-1263,-229,-682,-565,712
-146,-1457,-379,-594,-623,650
-165,-1541,-460,-414,-726,538
-16,-1465,-423,-204,-874,419
300,-1265,-322,-112,-855,347
544,-1146,-230,-293,-526,363
466,-1172,-236,-624,-76,447
141,-1316,-293,-917,266,528
-80,-1405,-323,-1057,332,535
-239,-1448,-345,-1069,245,521
-351,-1506,-404,-1065,132,549
-396,-1625,-547,-1054,18,581
-455,-1744,-656,-993,-90,589
-439,-1758,-642,-905,-193,554
-237,-1624,-548,-860,-247,472
50,-1518,-462,-887,-240,419
106,-1553,-456,-1002,-84,420
14,-1735,-578,-1142,150,457
-13,-1964,-773,-1197,207,547
-115,-2229,-991,-1130,124,754
-186,-2366,-1106,-987,-30,1008
-240,-2363,-1072,-844,-142,1222
-354,-2283,-907,-792,-146,1265
-466,-2172,-718,-869,-32,1054
-567,-2166,-623,-1042,150,680
-519,-2258,-676,-1251,302,308
-378,-2447,-811,-1397,374,74
-225,-2673,-923,-1438,405,30
-106,-2910,-1039,-1404,406,186
-87,-3131,-1166,-1285,284,512
-128,-3195,-1217,-1068,7,924
-258,-3092,-1119,-832,-242,1271
-455,-2960,-996,-709,-291,1386
-645,-2896,-930,-698,-197,1236
-749,-2898,-902,-724,-86,932
-738,-2888,-882,-748,29,600
-683,-2956,-856,-797,156,311
-557,-3126,-957,-855,244,105
-429,-3304,-1098,-832,227,40
-409,-3414,-1180,-704,129,107
-424,-3415,-1207,-532,27,212
-487,-3403,-1186,-370,-37,273
-544,-3412,-1182,-247,-56,226
-517,-3445,-1199,-140,-9,79
-466,-3489,-1217,-36,80,-91
-451,-3541,-1260,66,161,-233
-416,-3572,-1308,199,203,-337
-395,-3572,-1326,353,229,-401
-441,-3547,-1317,502,251,-434
-501,-3492,-1300,629,259,-468
-565,-3471,-1328,738,260,-512
-582,-3396,-1344,852,220,-520
-553,-3225,-1287,963,143,-490
-528,-3043,-1190,1043,89,-470
-497,-2892,-1141,1083,90,-491
-434,-2730,-1049,1106,182,-534
-398,-2633,-987,1090,237,-559
-348,-2548,-1001,1048,264,-576
-340,-2484,-995,1019,306,-527
-482,-2437,-986,949,273,-368
-650,-2396,-1038,862,149,-217
-637,-2337,-1086,853,-1,-191
-510,-2182,-991,928,-116,-251
-484,-1984,-857,1013,-162,-396
-495,-1868,-855,1076,-144,-631
-450,-1822,-885,1135,-87,-828
-381,-1812,-899,1184,3,-919
-271,-1763,-911,1244,56,-913
-147,-1701,-885,1282,43,-800
-64,-1553,-781,1274,44,-584
-108,-1420,-683,1219,39,-306
-186,-1332,-587,1151,-51,-94
-140,-1216,-453,1127,-163,-43
-30,-1062,-300,1151,-200,-142
5,-911,-138,1180,-173,-301
-36,-804,-18,1142,-112,-482
-92,-724,66,1050,-60,-666
-90,-674,95,914,-27,-806
-60,-675,94,747,19,-855
-86,-728,49,572,20,-839
-177,-897,-91,423,-26,-844
-140,-1088,-311,371,-95,-848
42,-1183,-479,419,-211,-749
