ax,ay,az,gx,gy,gz
-1902,-1099,-278,-895,-210,-4667
-1562,-1021,-284,-814,0,-5142
-1148,-959,-238,-757,347,-5552
-891,-959,-293,-766,762,-5830
-719,-975,-395,-724,927,-6012
-548,-956,-418,-576,874,-6153
-402,-887,-432,-411,731,-6285
-210,-837,-435,-235,638,-6471
95,-745,-441,-77,646,-6659
484,-615,-370,71,597,-6785
893,-512,-207,209,617,-6810
1132,-430,-25,258,875,-6771
1189,-385,25,224,1191,-6695
1195,-377,-25,225,1250,-6605
1255,-341,-10,304,1107,-6548
1471,-275,-15,386,995,-6544
1797,-224,-62,467,904,-6493
2018,-121,2,592,905,-6368
2265,51,18,739,956,-6256
2703,181,70,884,785,-6061
3079,306,210,1042,504,-5666
3306,452,427,1091,396,-5199
3475,542,645,1021,560,-4766
3605,602,833,880,804,-4370
3676,664,902,719,1045,-3980
3789,729,960,606,1115,-3493
3969,826,1049,592,929,-2827
4076,915,1144,594,499,-2012
4087,954,1283,559,35,-1197
4062,1006,1372,459,-283,-506
4050,1050,1425,301,-466,116
3918,1021,1467,87,-377,722
3571,936,1397,-168,-159,1236
3235,824,1249,-418,-75,1603
3017,693,1076,-632,-98,1875
2854,565,906,-783,-94,2120
2739,436,752,-880,-59,2370
2728,368,631,-915,-119,2668
2678,302,581,-933,-209,3014
2541,231,539,-999,-187,3354
2446,173,481,-1080,-60,3666
2359,67,448,-1156,175,3969
2117,-52,346,-1259,425,4279
1712,-163,202,-1328,455,4552
1331,-336,100,-1309,283,4730
1130,-466,38,-1249,36,4867
1086,-561,-34,-1162,-223,4981
989,-653,-68,-1097,-388,5089
848,-733,-165,-1101,-423,5196
765,-837,-328,-1085,-385,5293
692,-968,-458,-1018,-349,5384
609,-1053,-500,-910,-394,5482
520,-1137,-526,-766,-542,5623
415,-1174,-524,-543,-836,5834
267,-1141,-409,-263,-1212,6083
89,-1094,-287,-60,-1446,6251
-74,-1057,-190,51,-1568,6347
-151,-991,-120,134,-1558,6420
-257,-946,-111,179,-1399,6499
-616,-967,-97,156,-1233,6594
-1136,-1065,-115,160,-1159,6624
-1497,-1162,-103,282,-1303,6526
-1616,-1141,-3,474,-1571,6344
-1746,-1071,71,578,-1727,6154
-2090,-1096,85,623,-1743,5977
-2501,-1123,148,771,-1715,5721
-2857,-1090,328,957,-1683,5311
-3174,-1063,551,1011,-1530,4781
-3452,-1042,738,960,-1213,4151
-3671,-1032,871,844,-843,3451
-3867,-1062,999,674,-463,2719
-4001,-1120,1019,459,-76,1986
-3984,-1104,996,288,170,1292
-3846,-1110,1035,145,257,680
-3662,-1090,1085,-10,320,192
-3491,-1045,1067,-176,398,-195
-3422,-1050,1044,-338,431,-517
-3372,-1110,985,-486,403,-805
-3273,-1158,916,-606,326,-1105
-3153,-1215,806,-717,282,-1422
-3014,-1260,691,-799,308,-1732
-2890,-1293,605,-840,319,-2022
-2810,-1262,512,-892,240,-2259
-2739,-1288,399,-932,131,-2461
-2593,-1244,351,-939,-79,-2683
-2399,-1212,372,-943,-243,-2925
-2155,-1148,376,-1008,-250,-3158
-1878,-1095,344,-1142,-144,-3402
-1755,-1185,216,-1342,103,-3652
-1650,-1211,-58,-1462,333,-3894
-1361,-1182,-296,-1410,415,-4121
-1055,-1224,-352,-1284,561,-4328
-845,-1283,-341,-1190,724,-4449
-687,-1253,-312,-1104,766,-4519
-524,-1217,-262,-1010,733,-4582
-372,-1200,-239,-944,695,-4642
-252,-1213,-295,-914,722,-4710
-103,-1231,-376,-862,834,-4814
126,-1209,-449,-758,972,-4933
228,-1191,-571,-647,978,-4993
202,-1186,-678,-508,909,-5037
123,-1155,-715,-305,910,-5194
163,-1086,-682,-77,963,-5456
429,-927,-586,157,988,-5726
712,-757,-472,353,847,-5883
826,-660,-404,446,735,-5969
909,-568,-410,525,763,-6086
1053,-400,-407,665,706,-6208
1241,-206,-334,818,507,-6291
1400,-34,-190,907,400,-6383
1668,109,-61,940,524,-6530
1995,339,-15,971,720,-6657
2317,506,18,969,756,-6620
2728,602,56,976,714,-6426
3296,738,142,1033,568,-6075
4035,806,402,1066,338,-5483
4714,916,778,986,280,-4673
5077,1011,1037,721,410,-3655
5050,1006,1057,321,573,-2508
4751,935,813,-21,571,-1406
4319,869,524,-127,269,-461
3926,868,468,-36,-124,248
3641,840,619,52,-319,694
3442,820,792,-10,-299,914
3315,794,859,-216,-64,999
3231,750,792,-496,295,1070
3146,667,662,-747,581,1198
3061,562,525,-947,708,1396
2982,484,385,-1087,680,1665
2905,402,269,-1193,603,1990
2778,286,180,-1269,579,2315
2623,193,131,-1305,565,2601
2469,90,92,-1321,569,2853
2325,-20,68,-1316,487,3107
2155,-97,46,-1303,346,3365
1947,-164,5,-1309,279,3564
1749,-259,-28,-1328,318,3692
1568,-383,-107,-1338,389,3777
1433,-493,-196,-1336,453,3841
1379,-599,-210,-1307,510,3916
1349,-709,-227,-1278,553,4010
