ax,ay,az,gx,gy,gz
-2194,-1577,709,866,1640,1377
-2605,-1626,930,730,1590,1086
-3076,-1696,1106,476,1807,571
-3439,-1825,1122,129,2169,-114
-3491,-1979,998,-133,2208,-761
-3238,-2070,922,-227,1810,-1155
-2852,-2113,860,-283,1133,-1208
-2617,-2100,788,-337,344,-1035
-2511,-2092,683,-384,-356,-874
-2419,-2087,576,-421,-876,-859
-2351,-2085,539,-418,-1253,-963
-2387,-2058,495,-456,-1477,-1161
-2521,-2062,323,-573,-1570,-1446
-2529,-2121,38,-672,-1673,-1778
-2336,-2132,-219,-639,-1950,-2013
-2049,-2084,-386,-493,-2418,-2078
-1771,-1958,-465,-328,-2923,-2049
-1456,-1766,-459,-193,-3353,-1989
-1218,-1654,-448,-118,-3591,-1965
-1053,-1560,-542,-142,-3728,-2010
-779,-1483,-690,-226,-3838,-2131
-350,-1348,-831,-302,-3796,-2268
21,-1259,-1025,-418,-3505,-2441
411,-1115,-1209,-517,-3186,-2638
974,-1036,-1236,-556,-2995,-2766
1851,-951,-1225,-703,-2671,-2894
2819,-1066,-1364,-918,-2109,-2953
3751,-1380,-1625,-1025,-1543,-2890
4569,-1796,-1947,-939,-1173,-2521
4821,-2160,-2264,-518,-1141,-1893
4708,-2261,-2161,256,-1471,-1168
4365,-1938,-1626,1027,-1921,-300
4098,-1411,-859,1428,-2286,375
4116,-1236,-315,1289,-2011,620
4145,-1312,-146,881,-1214,525
4148,-1400,-322,498,-292,161
4224,-1590,-644,331,568,-199
4367,-1747,-933,303,1220,-346
4373,-1788,-1083,428,1621,-206
4163,-1748,-1080,645,1699,253
3782,-1680,-1005,865,1487,949
3281,-1556,-899,1098,1145,1699
2764,-1430,-712,1326,824,2343
2276,-1358,-516,1453,616,2796
1823,-1261,-445,1472,542,3056
1371,-1225,-305,1465,551,3164
987,-1304,-231,1363,761,3111
692,-1391,-360,1226,1034,2957
413,-1390,-500,1211,1170,2796
169,-1337,-484,1286,1277,2621
-134,-1332,-371,1379,1527,2395
-603,-1298,-215,1459,1922,2069
-1017,-1284,-94,1473,2330,1627
-1243,-1325,80,1490,2505,1130
-1215,-1297,359,1512,2386,831
-996,-1274,544,1314,2308,739
-835,-1539,320,961,2145,896
-837,-1696,55,934,1677,1332
-1107,-1614,119,1210,1071,1889
-1334,-1423,403,1504,508,2248
-1409,-1218,709,1567,124,2426
-1671,-1196,932,1526,23,2513
-1890,-1143,1228,1600,185,2205
-1791,-1027,1505,1562,527,1534
-1513,-912,1691,1332,808,895
-1410,-872,1816,975,1124,437
-1689,-964,1819,579,1580,53
-2052,-1109,1717,228,2031,-468
-2183,-1292,1571,-10,2345,-1087
-2065,-1450,1416,-88,2323,-1526
-1900,-1339,1433,-13,1868,-1592
-1898,-1234,1539,-110,1287,-1297
-2023,-1300,1566,-269,923,-1056
-2261,-1341,1597,-365,613,-967
-2500,-1278,1687,-420,220,-991
-2659,-1201,1790,-492,-176,-1152
-2788,-1119,1892,-662,-486,-1467
-2908,-1067,1864,-982,-622,-1897
-2810,-1035,1617,-1338,-661,-2330
-2406,-1010,1262,-1662,-865,-2634
-1874,-1024,834,-1918,-1276,-2708
-1472,-1083,471,-2050,-1752,-2570
-1249,-1147,140,-2082,-2177,-2365
-1054,-1177,-165,-2041,-2512,-2241
-731,-1124,-368,-1903,-2792,-2227
-423,-1090,-385,-1788,-2932,-2263
-214,-1059,-460,-1846,-2830,-2371
-20,-1051,-643,-1992,-2632,-2532
233,-1139,-892,-2106,-2492,-2654
587,-1194,-1115,-2046,-2544,-2640
893,-1178,-1341,-1875,-2785,-2475
1282,-1072,-1390,-1589,-3071,-2266
1855,-925,-1263,-1381,-3014,-2162
2442,-837,-1215,-1486,-2626,-2121
2814,-899,-1304,-1683,-2241,-1998
3023,-1063,-1330,-1757,-1985,-1824
3174,-1213,-1318,-1781,-1653,-1695
3286,-1404,-1395,-1823,-1266,-1638
3260,-1658,-1637,-1799,-945,-1563
3227,-1771,-1898,-1580,-876,-1427
3520,-1718,-1917,-1233,-874,-1297
4047,-1643,-1803,-1014,-593,-1134
4426,-1661,-1770,-972,-146,-885
4564,-1747,-1787,-928,213,-575
4619,-1822,-1756,-815,481,-248
4645,-1850,-1662,-667,730,97
4533,-1848,-1548,-503,886,475
4228,-1833,-1428,-347,924,880
3838,-1763,-1345,-214,943,1281
3560,-1688,-1269,-143,986,1599
3309,-1675,-1258,-117,1087,1838
3046,-1694,-1273,-90,1262,2016
2784,-1700,-1307,-35,1501,2137
2475,-1720,-1344,45,1728,2210
2143,-1756,-1393,124,1888,2262
1829,-1796,-1468,231,2004,2338
1532,-1814,-1543,393,2062,2438
1248,-1778,-1537,609,2046,2543
974,-1683,-1483,840,2050,2645
729,-1525,-1370,1057,2065,2724
502,-1359,-1173,1233,2116,2765
277,-1201,-905,1333,2247,2748
39,-1059,-623,1352,2534,2634
-233,-998,-389,1268,2878,2414
-516,-1018,-249,1112,3116,2163
-820,-1098,-244,947,3155,2021
-1099,-1182,-245,840,2932,2007
-1388,-1224,-200,789,2550,2069
-1643,-1256,-96,756,2182,2128
-1858,-1396,-113,666,1938,2104
-1939,-1561,-308,568,1728,2017
-1881,-1676,-410,604,1491,1949
-1947,-1762,-280,716,1328,1887
-2200,-1724,-54,760,1309,1744
-2585,-1727,134,691,1377,1514
-2996,-1826,312,617,1437,1149
-3200,-1850,456,535,1357,744
-3192,-1820,585,450,1125,417
-3110,-1838,673,325,832,189
-3029,-1899,647,216,560,2
-3024,-2002,546,194,317,-192
-2871,-1976,546,280,-97,-391
-2489,-1801,706,333,-562,-646
-2199,-1695,761,239,-786,-886
-2027,-1670,713,60,-947,-1094
-1851,-1649,648,-104,-1047,-1333
-1698,-1673,479,-235,-1066,-1598
-1515,-1699,222,-335,-1027,-1841
-1373,-1795,-54,-340,-1113,-2007
-1249,-1840,-219,-244,-1437,-2120
-1091,-1782,-254,-130,-1754,-2209
-934,-1715,-312,-62,-1981,-2276
-720,-1642,-352,-38,-2178,-2358
-262,-1465,-282,-43,-2094,-2534
193,-1328,-184,-102,-1672,-2724
221,-1454,-303,-272,-1268,-2807
47,-1629,-591,-393,-1223,-2777
-115,-1665,-775,-213,-1617,-2631
2,-1465,-652,79,-2241,-2465
273,-1244,-470,176,-2630,-2406
599,-1151,-457,92,-2782,-2507
909,-1157,-612,-36,-2827,-2745
1268,-1214,-883,-29,-2718,-3055
1808,-1165,-1010,89,-2470,-3227
2382,-1144,-1059,180,-2107,-3130
2632,-1214,-1125,240,-1859,-2739
2548,-1299,-1160,256,-1886,-2084
2414,-1241,-968,448,-2153,-1421
2477,-1058,-615,636,-2425,-1003
2714,-927,-402,600,-2475,-862
3032,-865,-304,442,-2242,-885
3309,-862,-288,199,-1722,-986
3520,-949,-332,-61,-1106,-1110
3689,-1071,-380,-217,-609,-1179
3898,-1140,-425,-279,-277,-1157
4105,-1211,-464,-299,-52,-989
4207,-1282,-472,-298,71,-639
4231,-1356,-467,-284,98,-166
4197,-1387,-448,-265,108,320
4036,-1418,-427,-254,182,729
3779,-1488,-489,-269,355,1012
3552,-1538,-574,-260,558,1248
3263,-1559,-645,-214,713,1515
2932,-1588,-690,-157,799,1778
2634,-1591,-681,-73,866,1976
2383,-1540,-624,9,968,2092
2147,-1491,-579,49,1110,2144
1933,-1455,-562,59,1273,2136
1788,-1428,-537,47,1486,2075
1673,-1431,-532,16,1736,1999
1517,-1477,-598,10,1914,1977
1327,-1498,-642,71,1951,2017
1163,-1455,-629,173,1926,2118
971,-1392,-580,275,1844,2274
781,-1359,-540,312,1731,2373
627,-1354,-524,319,1748,2417
417,-1372,-526,308,1789,2449
205,-1415,-539,306,1806,2431
96,-1434,-530,343,1851,2369
25,-1410,-473,423,1863,2338
-79,-1339,-305,490,1858,2351
-276,-1303,-130,477,1879,2338
-490,-1316,-12,405,1870,2258
-608,-1335,71,316,1874,2115
-780,-1453,66,192,1902,1990
-1013,-1592,-24,53,1804,1925
-1276,-1728,-154,-3,1611,1910
-1544,-1842,-198,41,1398,1920
-1740,-1906,-119,147,1136,1912
-1888,-1934,46,250,839,1863
-2039,-1966,204,282,544,1776
-2245,-2024,312,262,242,1658
-2531,-2080,398,230,-70,1477
-2793,-2068,504,193,-281,1142
-2969,-2031,619,114,-306,616
-3081,-2009,673,-33,-165,-38
-3026,-2019,650,-217,-20,-716
-2812,-2054,549,-361,-34,-1270
-2524,-2068,435,-433,-228,-1624
-2192,-2052,351,-436,-534,-1831
-1862,-2019,251,-407,-854,-1947
-1596,-1989,139,-357,-1153,-2012
-1301,-1953,66,-300,-1417,-2076
-1015,-1909,11,-257,-1641,-2122
-851,-1891,-89,-224,-1812,-2120
-845,-1901,-206,-176,-1891,-2113
-950,-1923,-325,-122,-1831,-2193
-959,-1893,-438,-54,-1715,-2390
-992,-1817,-491,53,-1740,-2590
-1009,-1678,-431,162,-1957,-2778
-811,-1470,-344,210,-2206,-3026
-411,-1263,-339,181,-2349,-3343
214,-1050,-410,149,-2362,-3687
954,-905,-441,167,-2180,-3988
