ax,ay,az,gx,gy,gz
627,-1884,-35,1391,1242,6
547,-1773,219,1333,1126,34
440,-1703,325,1186,1182,54
250,-1669,312,1053,1213,77
184,-1633,182,966,1054,106
296,-1596,68,926,746,161
376,-1544,-59,934,466,229
349,-1464,-11,965,389,300
220,-1397,105,916,441,297
115,-1353,218,789,607,175
169,-1286,299,623,849,3
259,-1263,293,458,1143,-126
284,-1284,176,353,1277,-104
287,-1249,84,332,1083,81
210,-1173,112,365,660,339
144,-1093,133,372,411,478
81,-1099,151,361,304,565
-80,-1128,218,341,186,599
-127,-1120,239,279,278,478
-163,-1144,195,161,497,308
-248,-1226,132,62,637,188
-235,-1262,126,26,673,72
-92,-1226,209,11,674,-21
5,-1200,316,-49,718,-47
55,-1223,386,-146,763,-40
214,-1266,353,-230,731,-3
126,-1244,353,-298,759,97
-46,-1305,294,-363,879,129
-102,-1305,162,-372,876,97
-63,-1301,36,-340,736,93
22,-1319,-67,-296,510,151
-15,-1232,78,-245,341,225
-38,-1182,253,-302,239,257
-26,-1218,281,-412,216,254
-39,-1251,299,-494,255,251
-164,-1257,360,-551,237,297
-271,-1276,343,-622,115,367
-289,-1310,238,-690,25,355
-374,-1318,244,-706,0,299
-454,-1275,293,-723,59,204
-494,-1294,281,-789,165,101
-555,-1356,282,-797,207,79
-554,-1361,304,-803,190,59
-489,-1323,296,-869,243,32
-478,-1365,249,-991,278,93
-539,-1547,93,-1137,210,185
-578,-1692,-47,-1165,57,260
-626,-1716,-37,-1096,-240,350
-682,-1676,35,-1038,-518,446
-877,-1668,148,-1024,-611,504
-1031,-1725,175,-1091,-619,439
-1049,-1857,39,-1162,-566,291
-1063,-1970,-74,-1143,-478,147
-928,-2028,-133,-1146,-426,6
-737,-2140,-241,-1195,-365,-80
-781,-2266,-311,-1197,-305,-65
-804,-2345,-357,-1123,-348,-39
-724,-2414,-334,-1037,-472,-41
-581,-2467,-313,-1018,-600,-42
-486,-2522,-332,-1021,-694,-3
-524,-2590,-332,-995,-854,90
-533,-2604,-362,-979,-1020,153
-559,-2656,-376,-989,-1204,198
-585,-2735,-432,-1001,-1303,179
-537,-2751,-486,-1006,-1258,69
-521,-2788,-552,-1028,-1282,-8
-555,-2860,-580,-1024,-1441,-31
-391,-2924,-668,-1013,-1555,-121
-213,-2984,-825,-1006,-1503,-200
-264,-3079,-892,-932,-1489,-165
-235,-3161,-865,-814,-1619,-175
-164,-3173,-800,-718,-1580,-269
-274,-3270,-716,-717,-1502,-345
-223,-3365,-796,-738,-1540,-463
-183,-3428,-838,-715,-1592,-555
-156,-3526,-960,-713,-1589,-657
-32,-3614,-1200,-694,-1581,-788
112,-3720,-1570,-606,-1637,-871
212,-3751,-1818,-349,-1745,-895
357,-3709,-1781,-4,-1752,-914
506,-3614,-1658,271,-1602,-935
574,-3527,-1554,459,-1392,-932
610,-3444,-1463,612,-1297,-899
661,-3332,-1410,730,-1334,-862
753,-3253,-1373,816,-1313,-845
812,-3185,-1346,894,-1196,-860
783,-3114,-1314,959,-1005,-892
775,-3051,-1285,1015,-868,-964
901,-2990,-1362,1088,-787,-1046
1093,-2875,-1396,1195,-789,-1057
1183,-2752,-1264,1303,-828,-969
1225,-2633,-1155,1362,-790,-878
1216,-2539,-1104,1395,-688,-820
1193,-2422,-1074,1423,-605,-771
1220,-2321,-999,1443,-573,-723
1143,-2255,-886,1441,-422,-705
1148,-2192,-889,1405,-193,-777
1289,-2147,-983,1398,56,-881
1354,-2068,-999,1437,255,-892
1417,-1981,-953,1477,373,-830
1506,-1853,-809,1525,433,-744
1468,-1741,-634,1528,517,-640
1420,-1638,-531,1458,577,-544
1407,-1572,-447,1352,578,-457
1322,-1521,-393,1234,677,-400
1296,-1495,-420,1122,765,-356
1320,-1458,-432,1063,837,-274
1264,-1410,-365,1029,889,-142
1164,-1391,-285,982,964,-28
1055,-1355,-310,913,1030,33
936,-1356,-358,830,1077,52
852,-1364,-382,786,1232,7
806,-1343,-408,786,1344,-38
795,-1327,-348,805,1347,-42
810,-1275,-197,804,1357,-44
856,-1206,-60,747,1445,-51
842,-1177,68,632,1565,-38
889,-1137,83,470,1650,0
933,-1114,-3,331,1678,83
881,-1110,-109,256,1648,226
745,-1129,-173,244,1583,365
663,-1124,-256,258,1594,416
524,-1097,-296,291,1683,419
414,-1027,-244,327,1784,391
371,-965,-127,321,1811,389
350,-913,-30,269,1780,442
288,-884,49,200,1691,549
136,-866,97,119,1570,662
-6,-885,149,28,1466,708
-69,-888,148,-52,1481,673
-146,-901,86,-121,1613,592
-216,-920,30,-157,1718,511
-213,-905,77,-163,1710,466
-188,-878,200,-186,1661,465
-192,-866,224,-259,1564,514
-236,-885,162,-325,1436,590
-318,-915,162,-369,1376,631
-408,-936,213,-434,1400,594
-489,-936,235,-521,1477,530
-518,-962,228,-594,1503,487
-551,-989,278,-649,1503,464
-611,-996,331,-710,1482,480
-726,-990,354,-784,1383,529
-871,-1003,332,-867,1279,563
-987,-1048,283,-947,1243,515
-1005,-1088,199,-1032,1290,408
-1025,-1149,147,-1084,1291,349
-1062,-1201,136,-1118,1237,333
-1149,-1240,135,-1152,1197,337
-1232,-1276,153,-1179,1092,356
-1326,-1310,218,-1222,992,361
-1433,-1362,262,-1299,916,343
-1487,-1412,202,-1387,789,338
-1512,-1456,133,-1457,691,335
-1624,-1544,78,-1514,633,324
-1700,-1662,-22,-1551,557,265
-1661,-1765,-84,-1554,464,181
-1656,-1867,-162,-1539,425,109
-1689,-2014,-246,-1504,417,28
-1654,-2090,-191,-1432,335,-66
-1557,-2116,-131,-1419,274,-135
-1482,-2166,-120,-1439,135,-107
-1454,-2185,-101,-1461,-144,10
-1572,-2289,-110,-1500,-389,163
