ax,ay,az,gx,gy,gz
963,-789,-426,1048,1602,113
952,-649,-202,970,1676,23
992,-498,-40,812,1704,19
995,-426,15,572,1746,85
954,-472,-76,296,1762,170
935,-560,-226,66,1787,232
872,-705,-416,-79,1814,313
761,-836,-552,-128,1746,468
692,-865,-518,-117,1575,685
543,-883,-408,-122,1420,938
192,-920,-308,-153,1264,1167
-132,-918,-155,-206,1139,1234
-338,-922,-18,-332,1197,1071
-488,-1004,43,-527,1372,781
-550,-1087,23,-715,1544,471
-445,-1144,-20,-862,1622,219
-314,-1284,-99,-989,1608,99
-165,-1364,-160,-1058,1512,92
-107,-1436,-213,-1072,1392,169
-162,-1544,-338,-1090,1215,328
-280,-1628,-452,-1060,963,530
-446,-1701,-528,-988,742,686
-682,-1731,-464,-897,579,733
-958,-1697,-350,-829,521,613
-1120,-1671,-294,-808,533,361
-1129,-1665,-245,-818,511,111
-989,-1612,-180,-865,413,-26
-808,-1562,-123,-966,291,-34
-787,-1611,-158,-1092,152,52
-905,-1670,-241,-1195,-16,162
-1024,-1735,-296,-1269,-118,146
-1080,-1831,-413,-1365,-119,-15
-1082,-1985,-619,-1432,-122,-213
-1013,-2156,-805,-1423,-168,-385
-850,-2287,-914,-1336,-249,-496
-688,-2338,-917,-1194,-390,-533
-572,-2347,-843,-1044,-536,-506
-537,-2336,-719,-928,-680,-422
-565,-2291,-604,-861,-841,-313
-587,-2274,-525,-856,-979,-217
-694,-2390,-604,-932,-1045,-156
-693,-2534,-715,-987,-1130,-187
-533,-2620,-743,-1004,-1190,-300
-350,-2734,-847,-1059,-1129,-411
-113,-2906,-1035,-1062,-1058,-508
107,-3027,-1115,-928,-1080,-505
215,-3099,-1088,-706,-1172,-412
239,-3062,-949,-462,-1318,-230
157,-2997,-757,-268,-1475,-11
-53,-2975,-691,-183,-1559,170
-357,-3020,-740,-154,-1627,278
-633,-3005,-788,-114,-1763,269
-695,-2890,-685,-79,-1891,80
-428,-2825,-627,-147,-1743,-328
44,-2901,-815,-241,-1404,-810
417,-2999,-1010,-170,-1224,-1102
740,-2999,-1098,22,-1208,-1141
1010,-2920,-1087,246,-1280,-974
1027,-2862,-995,435,-1370,-674
858,-2839,-907,571,-1450,-382
720,-2757,-791,657,-1526,-207
513,-2733,-781,671,-1543,-149
321,-2735,-840,655,-1535,-209
285,-2744,-919,653,-1428,-417
432,-2719,-998,690,-1257,-707
599,-2696,-1078,777,-1090,-958
760,-2640,-1128,885,-936,-1104
928,-2593,-1131,972,-797,-1144
1103,-2578,-1150,1032,-729,-1081
1223,-2568,-1127,1101,-731,-933
1268,-2527,-1083,1192,-743,-787
1280,-2432,-1022,1275,-705,-710
1244,-2345,-978,1316,-594,-691
1211,-2261,-942,1324,-470,-712
1198,-2150,-862,1321,-325,-755
1203,-2049,-822,1289,-152,-808
1274,-2003,-883,1248,10,-842
1326,-2013,-1002,1249,135,-829
1394,-1967,-1070,1312,222,-773
1475,-1889,-1067,1389,330,-701
1513,-1822,-1030,1420,484,-601
1502,-1750,-954,1420,563,-454
1439,-1664,-850,1403,588,-294
1316,-1598,-785,1353,644,-163
1169,-1522,-744,1296,711,-91
1052,-1427,-683,1234,766,-80
1021,-1360,-630,1153,848,-106
992,-1314,-638,1076,985,-148
934,-1299,-686,1035,1120,-187
966,-1251,-678,1025,1214,-201
1000,-1185,-602,1019,1301,-191
1006,-1091,-466,990,1399,-155
931,-1000,-291,932,1471,-100
807,-922,-158,834,1528,-33
672,-862,-58,697,1544,43
553,-804,17,514,1551,107
440,-775,52,319,1561,137
301,-803,74,146,1556,148
185,-836,58,8,1519,160
119,-835,40,-82,1418,196
91,-835,32,-155,1325,242
66,-870,11,-238,1297,284
134,-860,49,-314,1246,308
236,-814,161,-405,1240,263
204,-854,180,-553,1315,186
168,-906,94,-703,1341,120
169,-945,51,-827,1314,104
135,-1072,-42,-975,1315,158
80,-1282,-153,-1106,1283,251
-19,-1489,-300,-1129,1160,371
-128,-1575,-361,-1065,968,518
-292,-1616,-325,-1002,818,652
-462,-1633,-275,-972,730,704
-502,-1561,-152,-964,674,655
-573,-1537,-89,-1011,726,524
-730,-1575,-82,-1087,797,349
-757,-1556,-18,-1144,749,192
-671,-1537,33,-1215,647,79
-616,-1640,-17,-1336,562,53
-622,-1830,-147,-1437,409,138
-699,-2020,-334,-1469,185,280
-796,-2153,-475,-1431,-29,386
-920,-2245,-533,-1352,-154,374
-992,-2272,-518,-1271,-198,231
-982,-2265,-439,-1209,-203,22
-894,-2272,-379,-1188,-210,-174
-746,-2283,-352,-1189,-308,-264
-619,-2279,-352,-1202,-492,-222
-483,-2331,-375,-1255,-647,-147
-366,-2453,-488,-1328,-687,-114
-243,-2623,-643,-1346,-708,-102
